D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.000000260715309,4.000000256715309,4.000000228715309,4.000000152715309,4.000000004715309,3.999999760715309,3.999999396715309,3.9999988887153086,3.9999982127153086,3.9999973447153088
4.000003817658003,4.00000380194442,4.000003692173344,4.000003394903278,4.000002817364729,4.0000018674602025,4.000000453764204,3.99999848552324,3.9999958726558136,3.999992525752433
4.0000169259819485,4.000016887401199,4.00001661843451,4.000015891709394,4.000014483125496,4.000012171837797,4.000008740239806,4.000003973946767,3.999997661778854,3.999989595744376
4.000048516863548,4.00004844108324,4.00004791385363,4.000046492570472,4.000043744189157,4.00003924512664,4.0000325811638096,4.0000233473483,4.000011147897741,3.999995596103455
4.000109720875058,4.000109590633213,4.000108686338469,4.000106254130574,4.000101561871534,4.000093898811655,4.000082575258596,4.0000669222493945,4.000046291225468,4.000020053710579
4.000213474134204,4.000213269476904,4.000211851388847,4.000208045952287,4.000200721557189,4.0001887880348,4.000171195802884,4.000146935022498,4.000115034766215,4.000074562197718
4.000374193066395,4.000373891574228,4.000371806752405,4.000366224858695,4.0003555063116805,4.000338083794102,4.000312460390156,4.000277207756322,4.000230964325276,4.000172433542503
4.000607503884154,4.000607080887803,4.000604161801438,4.000596364009761,4.000581425263463,4.000557199988644,4.000521655678699,4.000472869367296,4.000409024181075,4.00032840597074
4.000930015828154,4.000929444613469,4.000925510675019,4.000915025756729,4.000894985797306,4.000862564347388,4.000815106162996,4.000750120971571,4.000665277406998,4.000558397110071
4.001359129783492,4.001358381786373,4.001353240799878,4.001339569887425,4.00131350117051,4.001271424849409,4.001209978566451,4.0011260371032895,4.001016702403759,4.000879293914144
4.001912875822628,4.001911920814011,4.001905370341298,4.001887990813183,4.001854927101162,4.001801685181287,4.001724115394048,4.001618396304387,4.0014810191442765,4.001308772820735
4.002609774654159,4.002608580915405,4.0026004095630885,4.002578778675959,4.002537722305553,4.002471764205543,4.002375892612137,4.002245536040594,4.002076540063921,4.001865145040767
4.003468719014141,4.003467253503115,4.003457242133191,4.003430800411733,4.003380729019569,4.0033004754718124,4.003184097480758,4.003026227957297,4.002822041589376,4.002567222937986
4.004508871830284,4.004507100338383,4.004495023205143,4.004463197599959,4.004403070332553,4.00430692359639,4.004167823358182,4.003979570283893,4.003736653095618,4.003434204257531
4.005749578593906,4.005747465894313,4.005733091710172,4.005695298533442,4.005624061766845,4.005510414940579,4.005346378902508,4.00512489480109,4.004839760687549,4.004485571570704
4.007210291841848,4.0072078018292485,4.007190894762001,4.007146542410323,4.007063135003554,4.006930380485816,4.006739209562987,4.006481686254022,4.006150923672309,4.005741004774736
4.00891050601664,4.008907601838654,4.008887922442573,4.008836413916009,4.008739772021342,4.0085863091698775,4.008365829620391,4.008069512461274,4.007689801956587,4.007220304856311
4.010869701263622,4.010866345444184,4.010843651527297,4.010784386753287,4.010673448205466,4.010497690239079,4.010245763326573,4.009907963661273,4.009476092895538,4.00894332742168
4.0131072949566375,4.013103449511548,4.013077496941346,4.01300987491183,4.012883583217287,4.01268396340445,4.012398493926741,4.012016599871334,4.011529476354683,4.010929924732424
4.015642599932567,4.015638226477446,4.015608769927175,4.015532190656928,4.015389498603208,4.01516447577873,4.014843419537015,4.014414905224221,4.013869566936555,4.0131998951778005
4.0184947885691855,4.018489848420022,4.018456642057685,4.018370508371564,4.0182103812762415,4.017958444725377,4.0175998150044405,4.017122248402053,4.016515872479616,4.0157729392717405
4.021682861967872,4.021677316234401,4.021640114356466,4.021543833512977,4.021365252130553,4.021084925878011,4.02068679900405,4.020157848415236,4.019487758065585,4.0186686213924
4.0252256236081845,4.025219433280262,4.025177990892053,4.025070976050359,4.02487293915479,4.024562785694279,4.024123305733323,4.023540745080279,4.022804414878163,4.021906336590225
4.029141656929366,4.0291347829565645,4.029088856301208,4.028970527838425,4.028752054498197,4.028410677996402,4.027928060652872,4.027289773639124,4.026484833345564,4.025505281881039
4.033449306367968,4.033441709732553,4.033391056770319,4.033260843455687,4.033020975017603,4.032647024024819,4.032119559796479,4.0314235430373175,4.030547780074609,4.029484431517
4.03816666144329,4.038158303226776,4.0381026840665735,4.037960024098841,4.037697825895982,4.03728999559405,4.0367160522365175,4.035960417441536,4.035011778147854,4.033862515793002
4.0433115435355305,4.043302384978994,4.043241562263715,4.043085904177831,4.04280046697649,4.042357500993169,4.041735525344182,4.040918500630703,4.039895090409529,4.038658003001308
4.048901495046887,4.04889149760519,4.048825236852565,4.048656040301535,4.048346481501267,4.047867173318722,4.047195692529569,4.0463156229408295,4.045215705412451,4.043889084194417
4.054953770674673,4.054942896064779,4.054870965965326,4.054687702382872,4.054353166983185,4.053836360966905,4.053113983185754,4.052169330483071,4.050991325737918,4.049573660456844
4.061485330558979,4.061473540802512,4.0613957134761165,4.06119786662556,4.060837527972179,4.060282120045304,4.059507534594638,4.058496876388408,4.057239358434975,4.0557293324216115
4.068512835096224,4.068500092556431,4.068416143769047,4.0682032101836185,4.0678162705066825,4.067221208493479,4.066393185581443,4.065315213861665,4.063976907355159,4.062373391797658
4.076052641234961,4.076038908648225,4.075948617990123,4.075720107309716,4.075305798065714,4.074670081726711,4.073787471729902,4.072640990853026,4.071220767184677,4.0695228147009175
4.084120800091975,4.084106040594022,4.084009191620983,4.083764626830157,4.083322208858891,4.082644889639074,4.0817066219921045,4.08049054617729,4.078987418998459,4.07719425660488
