D=0.0 mm/w,D=0.1 mm/w,D=0.2 mm/w,D=0.3 mm/w,D=0.4 mm/w,D=0.5 mm/w,D=0.6 mm/w,D=0.7 mm/w,D=0.8 mm/w,D=0.9 mm/w
3902.194380042772,3900.9443849134936,3898.318257529546,3897.436294283854,3898.975220293704,3902.268908600804,3906.507555371341,3911.110453752643,3915.7371255645794,3920.2122354205126
3887.861681306817,3886.638117937997,3884.118810158404,3883.389467902503,3885.083073780192,3888.5117248600495,3892.8602460419256,3897.5500151353535,3902.244778039896,3906.7733016077445
3873.39556353905,3872.198180721119,3869.784335458848,3869.205070765202,3871.05010398108,3874.610252794239,3879.06529516616,3883.8388513745526,3888.598941750686,3893.178430249192
3858.802526242843,3857.631073773901,3855.32134400394,3854.8896400500425,3856.88289122416,3860.571127764472,3865.129399399368,3869.9837221056673,3874.8064379749226,3879.434501231163
3844.088894748186,3842.943123571458,3840.7361727841794,3840.4495398548056,3842.587843077797,3846.400812419226,3851.05908246285,3855.991213593374,3860.8739140316143,3865.548219798021
3829.26082337593,3828.140485706203,3826.034988316684,3825.890964239906,3828.171197320368,3832.105599592716,3836.8606979784927,3841.867741511608,3846.807846015376,3851.526119249621
3814.324298638136,3813.229148077761,3811.22378979361,3811.219940314732,3813.6390249580536,3817.691615256788,3822.54043236203,3827.619553787041,3832.6145415988894,3837.3745637106576
3799.2851424656574,3798.2149341107015,3796.308412260833,3796.442331358185,3798.9972332815646,3803.164821516709,3808.1043077650206,3813.252733495801,3818.3001428927705,3823.099750961195
3784.149015454799,3783.103505991863,3781.2945298185496,3781.5638399649392,3784.251568953066,3788.531019641824,3793.558185056252,3798.7732018039073,3803.870629353076,3808.707715318374
3768.921420125444,3767.900367919701,3766.187658836156,3766.590011209538,3769.407621115207,3773.795853122757,3778.9077668340014,3784.186720942582,3789.331820727372,3794.204330560005
3753.607704183759,3752.610869358683,3750.993161174285,3751.526235821094,3754.470824514789,3758.964810747441,3764.1586004611936,3769.498897210252,3774.689380030936,3779.595312881395
3738.213063783048,3737.240208292326,3735.716247407536,3736.377753361907,3739.4464626341874,3744.043229688861,3749.316081116088,3754.715183993652,3759.948816545308,3764.8862238774177
3722.742546776926,3721.79343446901,3720.361980041913,3721.149655403885,3724.339670824196,3729.036298597959,3734.385454851745,3739.8408848010313,3745.1154888319634,3750.0824735424185
3707.201055959464,3706.2754526352046,3704.93527672152,3705.846888697143,3709.155439432468,3713.9490606956574,3719.371821657994,3724.881156301005,3730.194607754466,3735.1893232811085
3691.5933522874498,3690.691025751218,3689.4409134195375,3690.474258325645,3693.89861692225,3698.7864168585056,3704.280138520192,3709.841011361127,3715.1912395029753,3720.2118889241597
3675.924058080325,3675.0447781850366,3673.883527608954,3675.036430845234,3678.573912976543,3683.553128692845,3689.115222469517,3694.725322080732,3700.110308615489,3705.1551437427033
