C_i=0.0,C_i=4.0,C_i=40.0
0.0,0.0,0.0
0.0,0.01639792,0.1639792
0.0737466518214629,0.1062856850832263,0.3988949818368033
0.1458244760247939,0.1942396818360826,0.62925441498383
0.2146121563911886,0.2786435128878679,0.8534887163576239
0.2800304357339157,0.3594227866418487,1.0715699774718004
0.3422589509688569,0.4367617535388419,1.283726087395281
0.4015201702313753,0.5108872546505371,1.490224848424291
0.4580288529382869,0.5820182140382077,1.6913238104512782
0.5119800798456389,0.6503536988642915,1.8872586423260442
0.5635479597965396,0.7160716511107604,2.0782421202099037
0.6128873664959406,0.7793306447180629,2.264466092422731
0.6601363543987098,0.8402723181401951,2.4461040800859792
0.7054185089791938,0.8990237383853464,2.6233137777530247
0.7488450175616743,0.95569948334553,2.7962392471878155
0.7905164280059139,1.0104034101813877,2.965012776912401
0.8305241217069034,1.063230136577814,3.1297564380450003
0.8689515426518426,1.114266276885047,3.2905833812959333
0.9058752240348096,1.1635914748551075,3.447598919050968
0.9413656487823548,1.211279269490423,3.6009014308051985
0.9754879742600832,1.2573978244041335,3.750583123734994
1.00830264580786,1.3020105454433633,3.8967306742727086
1.039865918986501,1.3451766065422577,4.039425771551087
1.0702303065321908,1.386951399869718,4.178745579514764
1.099444962900221,1.4273869232101342,4.314763131236384
1.1275560168024317,1.4665321150287554,4.447547666381171
1.154606860176722,1.5044331456997135,4.5771649207035585
1.180638400465065,1.5411336718066584,4.703677374820706
1.205689281832085,1.576675059176572,4.8271444682004345
1.2297960799609935,1.6110965793079512,4.947622783254019
1.2529934742640632,1.6444355830515127,5.0651662035819776
1.2753144006992807,1.6767276547531915,5.179826049740332
1.2967901878610808,1.7080067495430529,5.2916511953423075
1.3174506785859668,1.7383053160246362,5.400688165860107
1.3373243389638612,1.7676544062675503,5.50698122212294
1.3564383563578175,1.7960837747164629,5.610572430205124
1.3748187277962658,1.8236219673899017,5.711501719149387
1.3924903399037465,1.8502964025429949,5.809806927765753
1.4094770413705964,1.8761334438018176,5.90552384157789
1.425801708823264,1.9011584666374424,5.998686220850516
1.4414863068400807,1.9253959189301988,6.089325820518545
1.4565519427585307,1.948869376275264,6.177472402747379
1.4710189168362222,1.971601592596312,6.263153742781072
1.4849067682563568,1.9936145465620572,6.346395628678691
1.4982343174074535,2.014929484239092,6.427221855497219
1.511019704814728,2.035566958361652,6.505654214450357
1.5232804270554698,2.0555468645535977,6.581712477555503
1.5350333699518766,2.0748884747987,6.655414378275249
1.5462948393011144,2.093610468421371,6.7267755886642275
1.5570805893731403,2.111730960810535,6.795809693546822
1.5674058493813436,2.129267530093636,6.8625281622756855
1.5772853481088338,2.146237241945381,6.926940318655148
1.5867333368537224,2.162656672696156,6.989053309657298
1.5957636108396631,2.178541930887856,7.0488720736117685
1.6043895292228765,2.1939086774096808,7.106399308612988
1.612624033813626,2.208772144333067,7.161635441960907
1.620479666618393,2.2231471525531417,7.214578601532781
1.6279685862986115,2.2370481283335657,7.265224590074384
1.635102583632617,2.250489118842368,7.313566863498695
1.641893096059253,2.263483806758086,7.359596514388107
1.6483512213742888,2.2760455240181643,7.403302262011921
1.6544877306442598,2.2881872647749755,7.444670450293152
1.6603130803965227,2.299921697618943,7.483685055286304
1.6658374241390737,2.3112611771229656,7.520327703858718
1.6710706232589891,2.32221775475761,7.554577705400383
1.6760222573441244,2.3328031892222696,7.586412098517517
1.680701633968899,2.3430289562336637,7.615805714790575
1.6851177979815697,2.3529062578095723,7.642731261793106
1.6892795403272896,2.3624460310825985,7.667159427669201
1.6931954064384431,2.371658956675889,7.68905900964807
1.6968737042212123,2.3805554666702164,7.708397068927836
1.7003225116650114,2.3891457521894672,7.725139114379044
1.703549684099339,2.397439770629489,7.739249317493036
1.7065628611206858,2.4054472525533126,7.750690760921498
1.7093694732103952,2.4131777082740227,7.75942572281093
1.7119767480627934,2.420640434144943,7.765415998918349
1.7143917166414522,2.42784451857535,7.768623264191008
1.716621218980127,2.434798847788595,7.76900947509187
1.7186719097436989,2.441512111338277,7.766537313443174
1.7205502635633358,2.447992807397016,7.761170671932756
1.722262580159074,2.454249247831316,7.752875180673774
1.7238149892620764,2.4602895630750945,7.741618773322493
1.725213455347974,2.4661217068135657,7.727372290238714
1.7264637821918911,2.4717534604883613,7.710110115021811
1.727571617255037,2.477192437634064,7.689810839480051
1.7285424559120666,2.482446088055616,7.666457950706856
1.7293816455277928,2.4875217018554547,7.640040532467433
1.7300943893912606,2.4924264133186504,7.610553971574056
1.73068575051466,2.4971672046637625,7.578000658388968
1.7311606553040666,2.501750909666661,7.542390669090862
1.7315238971085412,2.506184217164078,7.503742415934299
1.7317801396536994,2.510473674443225,7.462083250490036
1.7319339203654731,2.514625690523437,7.417450003854516
1.7319896535894188,2.5186465393354003,7.369889447139878
1.7319516337105938,2.5225423628032013,7.319458655284908
1.7318240381787084,2.5263191738341044,7.2662252574433275
1.7316109304429674,2.529982859220662,7.210267557982133
1.7313162628007472,2.5335391824594917,7.1516745135204385
1.7309438791639988,2.536993786490777,7.090545553500348
1.7304975177470343,2.540352196362329,7.026990234523399
1.729980813679134,2.5436198218217863,6.961127722095966
1.729397301545204,2.546801959840335,6.893086097457144
1.7287504178575288,2.54990379707114,6.823001491727062
1.7280435034614818,2.5529304122454537,6.751017054587586
1.7272798058778869,2.555886778509225,6.67728176992846
1.726462481584575,2.558777765702853,6.601949136164422
1.7255945982395298,2.561608142586563,6.525175734030862
1.72467913684788,2.564382579013747,6.447119709359578
1.7237189938748725,2.5671056480544645,6.367939202381004
1.7227169833068356,2.5697818280711706,6.28779075826483
1.721675838662035,2.572415504748606,6.206827755693195
1.7205982149532166,2.575010973079676,6.125198891096362
1.7194866906035362,2.577572439309026,6.043046755660846
1.7183437693174788,2.5801040228359127,5.960506540299924
1.7171718819082908,2.582609758077882,5.87770490048304
1.7159733880833623,2.5850935962966504,5.79475900825396
1.7147505781889236,2.587559407387513,5.711775813098306
1.713505674915346,2.590010981633501,5.628851526782326
1.7122408349642784,2.592452031425437,5.5460713401596555
1.710958150678775,2.5948861929489504,5.463509372548169
1.7096596516375266,2.597317027839452,5.381228846946842
1.708347306214239,2.599748024805976,5.299282477420003
1.7070230231031585,2.602182601224746,5.217713048726542
1.7056886528116963,2.604624104703241,5.136554162975849
1.704345989121051,2.607075814615484,5.055831123955893
1.7029967705156934,2.609540943609212,4.975561926940585
1.7016426815825336,2.612022639085513,4.895758320310377
1.7002853543805534,2.614523984651486,4.816426905205697
1.6989263697816523,2.617048001546391,4.7375702406025395
1.6975672587834212,2.619597650041738,4.659187923517754
1.6962095037945268,2.622175830815673,4.581277617333419
1.6948545398933623,2.624785386302007,4.503836005255322
1.6935037560605892,2.627429102014146,4.426859650449711
1.6921584963861704,2.630109707844172,4.350345749190208
1.6908200612514748,2.6328298793372404,4.27429276815763
1.689489708487002,2.635592238941437,4.198700961655982
1.6881686545062622,2.638399357233179,4.123572768756674
1.686858075416324,2.641253754118212,4.048913094117826
1.6855591081055208,2.644157900008191,3.9747294793467605
1.6842728513087928,2.647114216972817,3.9010321742256506
1.6830003666511244,2.6501250798674247,3.8278341188882137
1.681742679669518,2.6531928174358983,3.7551508491414776
1.6805007808139347,2.656319713388742,3.683000337623706
1.6792756264276154,2.659508007456082,3.6114027834530384
1.678068139707184,2.662759896415339,3.5403803625417587
1.6768792116429234,2.666077535093266,3.469956949926198
1.6757097019396012,2.669463037342002,3.4001578243900425
1.6745604399182126,2.6729184769887464,3.3310093644318632
1.6734322253989986,2.676445888758616,3.2625387433283737
1.6723258295660852,2.680047269170194,3.194773629742853
1.6712419958140852,2.683724577403252,3.127741899078294
1.6701814405769888,2.687479736138049,3.0614713596174594
1.66914485413967,2.691314632365601,2.995989496453547
1.6681329014323183,2.6952311181682256,2.931323235309594
1.667146222808109,2.699231011469651,2.8674987275759674
1.6661854348044074,2.7033160967539054,2.804541157259111
1.6652511308878053,2.7074881257521537,2.742474570021432
1.6643438821832788,2.7117488180966047,2.6813217240883955
1.6634642381877467,2.716099861940542,2.6211039624895505
1.6626127274683111,2.720542914543481,2.561841105869804
1.661789858345451,2.7250796028203994,2.5035513649412158
1.660996119561436,2.7297115238539167,2.4462512715305773
1.660231980934226,2.734440245368244,2.389955627102683
1.6594978939971112,2.7392673061636548,2.3346774675940236
1.6587942926243535,2.744194216510168,2.28042804336911
1.658121593643073,2.749222458499045,2.2272168131059256
1.6574801974316309,2.754353486350665,2.1750514504238465
1.6568704885047507,2.759588726677219,2.123937862083639
1.6562928360856202,2.7649295786986428,2.0738802166126864
1.6557475946652034,2.770377414410075,2.024880982237999
1.6552351045490044,2.775933578699082,1.9769409730437917
1.654755692391507,2.781599389410788,1.9300594023088593
1.6543096717185202,2.787376137358951,1.8842339420211054
1.6538973434376514,2.793265086280971,1.8394607876120266
1.6535189963371313,2.799267472734667,1.7957347270022785
1.6531749075732065,2.8053845059346054,1.753049213100319
1.6528653431463165,2.8116173675256446,1.7113964389490457
1.6525905583662672,2.8179672112912457,1.670767414769896
1.6523507983066164,2.8244351627940114,1.631152046209544
1.6521462982484694,2.8310223189457853,1.5925392131506064
1.651977284113901,2.8377297475045364,1.554916848504151
1.6518439728892005,2.844558486495137,1.5182720164577672
1.651746573038141,2.8515095435510127,1.4825909897080605
1.6516852849054762,2.858583895173524,1.4478593252601946
1.6516603011108504,2.865782485905806,1.4140619384291586
1.6516718069333292,2.873106227417669,1.3811831747274088
1.6517199806867304,2.8805559974980133,1.349206879371144
1.6518049940859498,2.888132638951081,1.3181164641824736
1.651927012604468,2.895836958392747,1.2878949717069421
1.652086195823223,2.903669724942856,1.2585251364051502
1.6522826977710288,2.9116316688095374,1.229989442813475
1.652516667256724,2.9197234797612164,1.2022701806021139
1.6527882481932243,2.927945805481942,1.1753494964888436
1.6530975799136574,2.936299249805467,1.1492094429940563
1.653444797479752,2.944784370823397,1.1238320240468755
1.6538300319826542,2.9534016788625457,1.0991992374735646
1.6542534108363385,2.962151634326505,1.0752931144181392
1.6547150580637795,2.971034645396296,1.052095755761235
1.6552150945760546,2.980051065584789,1.0295893656169899
1.6557536384445315,2.989201191139494,1.007756281999172
1.656330805166308,2.9984852582881265,0.9865790047571501
1.656946707923059,3.007903440321276,0.966040220889763
1.6576014578334488,3.0174558445063417,0.946122827350852
1.6582951641992565,3.027142508826811,0.9268099514643336
1.6590279347453758,3.0369633985408377,0.9080849690694073
1.65979987585383,3.0469184025529907,0.8899315205179104
1.6606110927919526,3.0570073295929614,0.8723335246461725
1.6614616899348795,3.067229904194964,0.8552751908430543
1.6623517709824938,3.077585762471509,0.8387410293343643
1.6632814391709625,3.0880744476752238,0.8227158598016316
1.664250797479007,3.0986954055423683,0.8071848184503849
1.665259948829043,3.1094479794117773,0.7921333636397654
1.6663089962833164,3.120331405112948,0.7775472801815662
1.6673980432351796,3.131344805617158,0.7634126824127355
1.6685271935956252,3.142487185445594,0.7497160161410781
1.669696551975213,3.15375742482865,0.7364440595594149
1.6709062238615098,3.165154273610799,0.7235839232188658
1.672156315792169,3.1766763448956925,0.7111230491472603
1.6734469355237664,3.1883221084265125,0.6990492091940176
1.6747781921965132,3.20008988369696,0.6873505026781761
1.6761501964949623,3.2119778327887603,0.6760153534116712
1.67756306080482,3.2239839529321137,0.6650325061654455
1.6790168993659755,3.2361060687861163,0.6543910226415871
1.6805118284218588,3.2483418244369364,0.644080277010417
1.6820479663652306,3.2606886751123207,0.6340899510673315
1.6836254338805146,3.273143878611937,0.6244100290602324
1.685244354082768,3.2857044864540987,0.6150307922345839
1.6869048526533963,3.2983673347405755,0.6059428131395019
