C_i=0.0,C_i=4.0,C_i=40.0
400.0,400.0,400.0
400.0,400.0,400.0
400.0,400.05028100768766,400.5028100768768
400.2261296534668,400.3758334233771,401.72355313855127
400.6717581847672,400.9690551091783,403.6478887729538
401.3256819789547,401.81796092044846,406.2603157941013
402.1768305631719,402.9108682908739,409.54859705969346
403.2150074286533,404.2371201191028,413.50426737672683
404.4309717968917,405.7871512750346,418.12252931124
405.8163725020664,407.55240945452334,423.4020409432426
407.36365179684447,409.5252477789673,429.3447071415459
409.0659507740996,411.6988205062112,435.95550110950603
410.9170247099503,414.0669899033127,443.2423206314846
412.9111695930305,416.62424534529407,451.2158772338658
415.04315898226105,419.3656336218562,459.889614988188
417.3081898118481,422.2866989411403,469.2796556573972
419.7018357658874,425.383431146812,479.4047672837188
422.2200070070282,428.65222084516927,490.2863537953084
424.8589152347892,432.08982034462935,501.94846365785787
427.6150432259421,435.6933094984038,514.4178159867424
430.4851181600805,439.4600657012951,527.7238428631615
433.4660881576301,443.3877374234018,541.8987468709739
436.555101558352,447.4742207706856,556.9775730983376
439.7494885498257,451.717638649098,572.9982950380763
443.0467448211976,456.1163221792073,590.0019139798867
446.44451697076846,460.66879406531547,608.0325716217533
449.9405894393408,465.37375366958526,627.1376757417491
453.5328727766633,470.2300635798401,647.3680388683134
457.2193930774055,475.2367374911243,668.778029969851
460.9982824471192,480.3929292471474,691.4257392552105
464.867770378588,485.6979229094188,715.3731562368563
468.82617593560457,491.15112374002655,740.6863612595462
472.8719006551719,496.75204999928405,767.4357307398847
477.0034220908784,502.5003254723733,795.6961563967993
481.2192879301518,508.3956726500722,825.5472787800749
485.5181106265532,514.4379064980001,857.0737354236657
489.8985624954984,520.6269287568138,890.365423962472
494.3593712279798,526.9627227226719,925.5177805553274
498.89931578219046,533.4453484632138,962.6320739526266
503.5172226175466,540.0749384294435,1001.8157155337273
508.2119622395893,546.8516934283698,1043.1825856161747
512.9824460277054,553.7758789251465,1086.8533763050186
517.8276233206271,560.8478216468545,1132.955951104905
522.7464787373069,568.0679064630507,1181.6257214589882
527.7380297130759,575.4365735208238,1233.0060403056268
532.8013242330297,582.9543156144107,1287.248612654717
537.9354387463762,590.6216757714598,1344.513923078692
543.139476247062,598.4392450398354,1404.9716798867837
548.4125645073979,606.4076604604597,1468.8012756031
553.753854452647,614.5276032131073,1536.1922631972748
559.1625186656453,622.799796923342,1607.3448473186204
564.63775001151,631.2250061199125,1682.470389558498
570.1787603733744,639.8040348329379,1761.791926508568
575.7847794908726,648.5377253241221,1845.544699092247
581.4550538938051,657.4269569410461,1933.9766913206126
587.1888459240521,666.4726450883229,2027.3491762598005
592.9854328393682,675.6757403090545,2125.937266592423
598.8441059932112,685.037227470627,2230.030466708753
604.7641700852178,694.558125049413,2339.9332227727523
610.7449424773608,704.2394845094364,2455.965466672416
616.7857525712029,714.0823897704951,2578.463149182912
622.885941242005,724.0879567616317,2707.778757045035
629.0448603257627,734.2573330562059,2844.281807992057
635.261872155529,744.5916975851505,2988.3593170478866
641.5363491436393,755.0922604252926,3140.4162266729104
647.8676734066956,765.7602626598922,3300.875792557123
654.2552364303808,776.596976308804,3470.1799160615215
660.6984387713733,787.6037043258904,3648.78941349905
667.1966897938164,798.7817806615277,3837.1842116392677
673.7494074379617,810.1325703882371,4035.8634580331523
680.3560180187606,821.6574698876467,4245.345534006244
687.0159560523209,833.3579070971556,4466.16795748357
693.728664108277,845.2353418148199,4698.88716221629
700.4935926862395,857.2912660611174,4944.078139509435
707.3102001146078,869.5272044963788,5202.333928238231
714.1779524701296,881.9447148927891,5474.264938826528
721.0963235166886,894.545388659977,5760.498096987413
728.0647946618922,907.330851423311,6061.6757934381985
735.0828549301159,920.3027636541192,6378.454626546048
742.1500009507361,933.4628213511426,6711.503925983075
749.2657369603598,946.8127567726108,7061.504047015431
756.4295748179273,960.354339218422,7429.144427060275
763.6410340316262,974.0893758619728,7815.121398651424
770.8996417966181,988.0197126312672,8220.13575598288
778.2049330426365,1002.1472351389996,8644.890075759993
785.5564504905641,1016.4738696613724,9090.085797174403
792.9537447171534,1031.0015841654813,9556.420070403992
800.3963742270994,1045.732389385153,10044.58238807142
807.8839055317173,1060.6683399451945,10555.251019494828
815.415913233526,1075.8115355340583,11089.089273222718
822.9919801160718,1091.164122125002,11646.741619119945
830.6116972383722,1106.7282932458645,12228.829706990198
838.2746640333919,1122.5062912976475,12835.948324178597
845.9804884099988,1138.5004089221447,13468.661339566728
853.7287868578844,1154.712990418913,14127.497685602833
861.5191845549606,1171.1464332119483,14812.947433242694
869.3513154767766,1187.8031893664688,15525.45801665496
877.224822507531,1204.6857671562802,16265.430665026923
885.1393575522789,1221.7967326822454,17033.2170975843
893.0945816499606,1239.138711542443,17829.116534852375
901.090165086908,1256.7143905546566,18653.373074143863
909.125787510502,1274.526519531898,19506.17347025244
917.2011380426858,1292.577913111725,20387.64535344777
925.3159153930524,1310.8714526401786,21297.855906301505
933.4698279712566,1329.410088111231,22236.811008925968
941.6625939985104,1348.1968401626896,23204.4548492849
949.8939416179522,1367.2348021295809,24200.6699818386
958.1636090036908,1386.5271421561004,25225.277804487076
966.4713444683445,1406.0771053672804,26278.039411193633
974.8169065689189,1425.8880161016057,27358.65676643975
983.2000642108763,1445.9632802058766,28466.77413838584
991.6205967502708,1466.306387393694,29601.979720833653
1000.0782940938312,1486.920913669021,30763.807370242284
1008.572956796904,1507.8105238163528,31951.73838344204
1017.1043961591608,1528.978973959109,33165.20324445636
1025.6724343180088,1550.4301141879498,34403.58327493891
1034.2769043396422,1572.1678912607993,35666.21213193416
1042.91765030769,1594.1963513764545,36952.37710857199
1051.5945274094283,1616.519643023747,38261.320207351324
1060.3074020195313,1639.1420199083211,39592.23897117163
1069.0561517813553,1662.0678439591898,40944.28707346767
1077.8406656857471,1685.301588417332,42316.574684887746
1086.660844147392,1708.8478410086984,43708.16864913613
1095.5165990787136,1732.7113072041002,45118.092514140175
1104.407853961355,1756.8968135685657,46545.326475967115
1113.3345439152745,1781.4093112028677,47988.80730140356
1122.296615765499,1806.253879280037,49447.42830048129
1131.294028106587,1831.4357286798036,50920.03942231719
1140.3267513648525,1856.9602057240295,52405.44754644004
1149.3947678584202,1882.8327960163333,53902.41703747347
1158.4980718551797,1909.059128389224,55409.67062395184
1167.6366696287118,1935.6449789622231,56925.89065260216
1176.810579512273,1962.5962753145795,58449.720758155825
1186.0198319509218,1989.9191007763231,59979.76797623657
1195.26446955188,2017.6196988415784,61514.60531369956
1204.544547133224,2045.7044777081908,63052.77477754695
1213.8601317710077,2074.1800149478886,64592.7908507476
1223.2113028449198,2103.053062311378,66133.14439140195
1232.5981520825858,2132.3305506729225,67672.30692108849
1242.020783602623,2162.0195951191467,69208.73525918204
1251.4793139565656,2192.1275001869867,70740.87645261924
1260.9738721697772,2222.6617652558907,72267.17294508508
1270.5045997814675,2253.630090099572,73786.06792589779
1280.0716508839405,2285.0403806028103,75296.01079689844
1289.675192161192,2316.900754649019,76795.46269526945
1299.315402926993,2349.2195481844783,78282.90201123423
1308.9924751625765,2382.0053214653926,79756.8298418259
1318.7066135540613,2415.2668654941167,81215.77532514487
1328.4580355297498,2449.013208651159,82658.30080354169
1338.2469712974234,2483.253623529787,84083.00676876666
1348.073663881774,2517.997633980324,85488.53654714214
1357.9383691621058,2553.2550223714657,86873.58068807884
1367.8413559104406,2589.035837076221,88236.88102464419
1377.7829058301645,2625.350400190336,89577.23438028648
1387.7633135953522,2662.209315491348,90893.49590113707
1397.782886890904,2699.6234766467014,92184.58199848291
1407.8419464536362,2737.604075679644,93449.47289097008
1417.9408261144574,2776.162611701925,94687.21474082193
1428.0798728417749,2815.310899922639,95896.92138280132
1438.2594467862623,2855.061080942849,97077.775648788
