Hi,t_convergence (weeks)
0.0,255.65
45.0,233.65
90.0,216.4
135.0,202.3
180.0,190.5
225.0,180.4
270.0,171.65
315.0,163.95000000000002
360.0,157.05
405.0,150.9
450.0,145.3
495.0,140.20000000000002
540.0,135.5
585.0,131.20000000000002
630.0,127.25
675.0,123.5
720.0,120.05000000000001
765.0,116.85000000000001
810.0,113.80000000000001
855.0,110.95
900.0,108.25
945.0,105.7
990.0,103.25
1035.0,101.0
1080.0,98.80000000000001
1125.0,96.7
1170.0,94.75
1215.0,92.85000000000001
1260.0,91.0
1305.0,89.30000000000001
1350.0,87.60000000000001
1395.0,86.0
1440.0,84.5
1485.0,83.0
1530.0,81.55000000000001
1575.0,80.2
1620.0,78.85000000000001
1665.0,77.60000000000001
1710.0,76.35000000000001
1755.0,75.15
1800.0,74.0
1845.0,72.9
1890.0,71.8
1935.0,70.75
1980.0,69.7
2025.0,68.7
2070.0,67.75
2115.0,66.8
2160.0,65.9
2205.0,65.05
2250.0,64.15
2565.0,58.75
2610.0,58.0
2655.0,57.35
2700.0,56.650000000000006
2835.0,54.75
2880.0,54.150000000000006
2925.0,53.550000000000004
2970.0,52.95
3015.0,52.35
3060.0,51.800000000000004
3105.0,51.25
3150.0,50.7
3195.0,50.2
3330.0,48.650000000000006
3375.0,48.2
3420.0,47.7
3465.0,47.25
3600.0,45.900000000000006
3645.0,45.45
3690.0,45.0
3780.0,44.2
3825.0,43.800000000000004
4095.0,41.5
4140.0,41.150000000000006
4500.0,38.45
