first_checkpoint_271.0,second_checkpoint_283.0,end_evolution_300.0
,,
,,
152.36923901944564,152.36899311069806,152.36867868000192
,,
,,
,,
,,
162.36976461558564,162.36952374086738,162.36921572380288
,,
442.4263755841346,442.42633595223424,442.42628526894896
403.1495312053907,403.14947467567225,403.14940238040623
476.0165436275063,476.0165072020215,476.0164605632202
,,
254.50146755692927,254.5013396747877,254.50117612734013
,,
,,
,,
,,
,,
375.2485662966608,375.2485220125501,375.2484653870764
98.60343545170213,98.60290086267334,98.60221726611924
,,
659.7104220310821,659.710396360087,659.7103635166143
,,
319.3409543583324,319.34090787064457,319.34084843213185
,,
314.0329173413208,314.0328465733979,314.03275607671634
,,
282.69125630358377,282.69115037115034,282.69101488185
578.0460408168676,578.0460149428583,578.0459818228959
,,
,,
480.7954020128087,480.7953605285818,480.79530746845063
,,
409.0409029433589,409.0408542392869,409.04079195314426
,,
34.006130652809,34.00268176037114,33.99867921409389
618.69868700736,618.6986620995809,618.6986302272534
,,
609.9335276683889,609.9335069351316,609.9334803894425
407.1705714672741,407.1705333229232,407.1704845461199
443.88613335925953,443.8860886752744,443.8860315221332
,,
,,
262.2442843217717,262.24412076903224,262.24391157536394
80.86280232634094,80.86233389299423,80.86173505323194
115.24670283361569,115.24612478938762,115.24538549562229
180.4721409787916,180.47200105666204,180.47182215783653
283.4942097569496,283.4941108297552,283.4939843169841
374.9869848785884,374.9869441622431,374.98689209642174
515.6013066065588,515.6012752232064,515.6012350870981
,,
68.32916951973604,68.3282692284995,68.32711803563065
,,
445.7524632996319,445.7524053200037,445.75233116093534
396.2337671752257,396.2337070069855,396.2336300431782
396.1161756074659,396.1161282668246,396.11606772622974
,,
,,
473.4245624681601,473.42451710577205,473.424459059912
,,
,,
,,
,,
183.3609478009202,183.3607892459005,183.36058650828082
,,
305.6292985905088,305.62973231303897,305.6302870503097
,,
151.62399298422372,151.62376459123143,151.62347255541962
277.2250983086879,277.2249869728712,277.22484458565697
353.7186224650196,353.7185527693196,353.7184636324624
387.6635386167168,387.6634757552018,387.6633953585594
,,
306.45005691657013,306.44998738786376,306.44989847658957
191.8004523950795,191.80149288812515,191.80282149157946
351.09245871321366,351.09248950347,351.09252919955145
187.5647689141649,187.5646596294289,187.56451990821142
313.06040373455045,313.0603419248649,313.0602628858869
189.192813880286,189.1927237049927,189.19260842210977
355.2135628976808,355.2134846422314,355.21338455981777
,,
526.414150484594,526.414121882331,526.4140852697718
117.9442180409847,117.94367304473565,117.94297601652384
,,
,,
461.2240835294556,461.2240576013418,461.2240244476495
119.0815608600201,119.08118644411265,119.080707688291
235.16632268046257,229.12485108804825,-134.2681877784965
,,
314.2714954720604,314.2714471670305,314.2713854012959
,,
,,
,,
102.79900790624272,102.7985074221963,102.79786743596307
438.62684309786886,438.626803920304,438.62675381839694
238.8615854653592,238.86144004107743,238.86125406322432
109.14815914915845,109.14774882214836,109.14722416987297
,,
,,
,,
593.7680910967334,593.7680665057087,593.7680350516096
479.97665370698405,479.97663244805153,479.9766052642
302.87396279783565,302.8738598529865,302.8737281841554
526.8612731661093,526.8612471785974,526.8612139462031
180.00133226776447,180.00117131983436,180.00096552258327
