time,value_H
0.0,0.0
0.01,0.0
0.02,0.002126082156352
0.03,0.01587999630650676
0.04,0.0408761911504247
0.05,0.07654655981412353
0.06,0.12233940131644058
0.07,0.17774973937313876
0.08,0.24232174352257324
0.09,0.3156449998016623
0.1,0.39734962544191715
0.11,0.4871015571623992
0.12,0.5845983499429269
0.13,0.6895655263631594
0.14,0.8017534287189052
0.15,0.9209345058595231
0.16,1.0469009684623276
0.17,1.1794627546523926
0.18,1.3184457570515191
0.19,1.4636902707073334
0.2,1.6150496284530602
0.21,1.7723889960945647
0.22,1.9355843045762173
0.23,2.104521300130156
0.24,2.279094696537762
0.25,2.4592074161732493
0.26,2.6447699085750007
0.27,2.8356995369943325
0.28,3.031920024777689
0.29,3.2333609546050095
0.3,3.4399573145801208
0.31,3.65164908598476
0.32,3.8683808681950023
0.33,4.090101536840496
0.34,4.316763931781375
0.35,4.548324571899877
0.36,4.784743394065605
0.37,5.025983513944763
0.38,5.272011006592649
0.39,5.522794705001729
0.4,5.7783060149802665
0.41,6.0385187449131275
0.42,6.303408949110963
0.43,6.572954783589481
0.44,6.847136373239693
0.45,7.125935689455104
0.46,7.409336437374587
0.47,7.69732395198196
0.48,7.989885102376176
0.49,8.28700820359096
0.5,8.588682935400525
0.51,8.894900267599619
0.52,9.205652391292288
0.53,9.52093265576514
0.54,9.840735510557955
0.55,10.165056452377856
0.56,10.49389197653328
0.57,10.827239532591058
0.58,11.165097483984326
0.59,11.507465071321105
0.6,11.854342379163379
0.61,12.205730306064615
0.62,12.561630537670158
0.63,12.922045522699873
0.64,13.286978451646013
0.65,13.656433238031726
0.66,14.030414502086915
0.67,14.408927556708496
0.68,14.791978395581607
0.69,15.17957368334691
0.7,15.57172074770717
0.71,15.968427573373521
0.72,16.369702797758574
0.73,16.775555708329698
0.74,17.18599624154155
0.75,17.601034983272104
0.76,18.020683170691424
0.77,18.444952695496838
0.78,18.873856108452454
0.79,19.307406625174774
0.8,19.74561813310987
0.81,20.1885051996509
0.82,20.636083081348044
0.83,21.088367734165672
0.84,21.545375824744653
0.85,22.007124742630065
0.86,22.473632613427203
0.87,22.944918312851037
0.88,23.421001481636566
0.89,23.901902541279487
0.9,24.387642710578753
0.91,24.878244022954352
0.92,25.373729344515596
0.93,25.874122392856833
0.94,26.37944775655926
0.95,26.889730915379072
0.96,27.404998261103806
0.97,27.925277119060144
0.98,28.450595770258012
0.99,28.980983474157124
1.0,29.5164704920436
1.01,30.057088111005537
1.02,30.602868668497806
1.03,31.153845577487576
1.04,31.71005335217338
1.05,32.27152763427171
1.06,32.838305219866456
1.07,33.41042408681757
1.08,33.98792342272665
1.09,34.57084365345824
1.1,35.15922647221683
1.11,35.75311486918068
