time,value_C
0.0,4.0
0.01,4.0
0.02,4.0
0.03,4.000000260715309
0.04,4.000003813972108
0.05,4.00001687440123
0.06,4.00004826038349
0.07,4.000108889423637
0.08,4.000211362554221
0.09,4.000369622385951
0.1,4.0005986699287215
0.11,4.000914328457341
0.12,4.0013330454267635
0.13,4.001871725501944
0.14,4.002547589289057
0.15,4.003378053485033
0.16,4.004380629013209
0.17,4.00557283436293
0.18,4.006972121854769
0.19,4.008595814948872
0.2,4.0104610550285695
0.21,4.012584756344346
0.22,4.014983568008473
0.23,4.0176738420986675
0.24,4.0206716070677535
0.25,4.023992545771504
0.26,4.02765197752316
0.27,4.031664843664118
0.28,4.036045696208791
0.29,4.040808689179781
0.3,4.045967572299179
0.31,4.051535686744284
0.32,4.057525962712614
0.33,4.063950918572578
0.34,4.070822661403504
0.35,4.078152888752332
0.36,4.0859528914549506
0.37,4.094233557388057
0.38,4.103005376033173
0.39,4.11227844374819
0.4,4.122062469653888
0.41,4.132366782053515
0.42,4.143200335312848
0.43,4.1545717171364185
0.44,4.166489156182878
0.45,4.178960529968917
0.46,4.191993373016886
0.47,4.2055948852063
0.48,4.219771940293936
0.49,4.234531094571199
0.5,4.249878595631009
0.51,4.2658203912195924
0.52,4.282362138151403
0.53,4.29950921126789
0.54,4.317266712423055
0.55,4.3356394794807676
0.56,4.35463209531054
0.57,4.3742488967700925
0.58,4.394493983664429
0.59,4.415371227672417
0.6,4.4368842812330085
0.61,4.459036586384212
0.62,4.481831383548877
0.63,4.505271720262114
0.64,4.52936045983592
0.65,4.554100289957202
0.66,4.579493731215995
0.67,4.605543145561141
0.68,4.632250744681204
0.69,4.659618598308756
0.7,4.687648642446582
0.71,4.71634268751464
0.72,4.745702426416929
0.73,4.775729442527679
0.74,4.806425217596493
0.75,4.837791139572306
0.76,4.869828510346198
0.77,4.902538553413273
0.78,4.935922421453972
0.79,4.969981203835319
0.8,5.004715934032738
0.81,5.040127596973169
0.82,5.076217136300339
0.83,5.112985461563134
0.84,5.150433455328082
0.85,5.188561980217081
0.86,5.227371885871535
0.87,5.2668640158441775
0.88,5.307039214419887
0.89,5.347898333366897
0.9,5.3894422386198455
0.91,5.431671816896177
0.92,5.474587982247457
0.93,5.518191682547239
0.94,5.5624839059171505
0.95,5.607465687092948
0.96,5.653138113732328
0.97,5.699502332666339
0.98,5.746559556096315
0.99,5.794311067738282
1.0,5.8427582289168605
1.01,5.891902484610747
1.02,5.941745369451913
1.03,5.992288513680723
1.04,6.043533649059236
1.05,6.095482614745013
1.06,6.14813736312783
1.07,6.201499965631754
1.08,6.2555726184851
1.09,6.310357648460885
1.1,6.3658575185904285
1.11,6.422074833852856
1.12,6.479012346843314
1.13,6.536672963422786
1.14,6.595059748352499
1.15,6.6541759309159465
1.16,6.714024910531682
1.17,6.774610262360085
1.18,6.835935742907409
1.19,6.898005295630493
1.2,6.960823056545624
1.21,7.024393359845099
