time,value_R
0.0,0.0
0.01,0.0
0.02,0.00024202490346496002
0.03,0.001810464720812858
0.04,0.004675336458382788
0.05,0.008783052249816691
0.06,0.014079174063860007
0.07,0.020512202536069037
0.08,0.02803417746886644
0.09,0.03660053639733358
0.1,0.046169800499242714
0.11,0.05670324487750088
0.12,0.06816459735917085
0.13,0.0805197753394429
0.14,0.09373665929807853
0.15,0.10778489853809385
0.16,0.1226357442765165
0.17,0.1382619056570794
0.18,0.15463742490976373
0.19,0.171737568525394
0.2,0.1895387318745203
0.21,0.20801835516622105
0.22,0.22715484902211514
0.23,0.24692752824726277
0.24,0.26731655262634546
0.25,0.28830287377241404
0.26,0.3098681872163573
0.27,0.33199488905589786
0.28,0.35466603658955564
0.29,0.37786531244849364
0.3,0.40157699181129264
0.31,0.42578591234648966
0.32,0.450477446577524
0.33,0.47563747640643605
0.34,0.5012523695677438
0.35,0.5273089578135647
0.36,0.5537945166562157
0.37,0.5806967465159691
0.38,0.6080037551400003
0.39,0.6357040411743305
0.4,0.6637864787841706
0.41,0.6922403032298318
0.42,0.7210550973155946
0.43,0.75022077863782
0.44,0.7797275875663647
0.45,0.8095660759001779
0.46,0.8397270961439413
0.47,0.870201791357892
0.48,0.9009815855376303
0.49,0.9320581744848376
0.5,0.9634235171334995
0.51,0.995069827299484
0.52,1.026989565824237
0.53,1.05917543308595
0.54,1.0916203618538851
0.55,1.1243175104636265
0.56,1.1572602562929033
0.57,1.1904421895193196
0.58,1.2238571071428486
0.59,1.2574990072573253
0.6,1.2913620835564188
0.61,1.325440720060692
0.62,1.3597294860533842
0.63,1.394223131213486
0.64,1.4289165809355178
0.65,1.4638049318262047
0.66,1.4988834473689447
0.67,1.5341475537476101
0.68,1.5695928358218196
0.69,1.6052150332463542
0.7,1.6410100367278937
0.71,1.6769738844127036
0.72,1.7131027583993244
0.73,1.7493929813707032
0.74,1.7858410133405647
0.75,1.8224434485091474
0.76,1.859197012223738
0.77,1.896098558039715
0.78,1.93314506487808
0.79,1.9703336342756914
0.8,2.007661487724643
0.81,2.045125964097438
0.82,2.0827245171548068
0.83,2.12045471313319
0.84,2.1583142284090857
0.85,2.196300847237613
0.86,2.2344124595627877
0.87,2.272647058897155
0.88,2.311002740268534
0.89,2.3494776982317718
0.9,2.388070224943499
0.91,2.426778708297994
0.92,2.4656016301223658
0.93,2.504537564429348
0.94,2.5435851757260983
0.95,2.582743217377471
0.96,2.622010530022316
0.97,2.661386040041428
0.98,2.7008687580758384
0.99,2.740457777594217
1.0,2.7801522735082074
1.01,2.8199515008345784
1.02,2.8598547934031386
1.03,2.899861562609409
1.04,2.9399712962111013
1.05,2.9801835571675044
1.06,3.0204979825209177
1.07,3.060914282319329
