time,value_D
3.3,3.787388693960832
3.31,3.787777142248813
3.32,3.7876397147962617
3.33,3.7869636231335337
3.34,3.7857364525320047
3.35,3.783946203201671
3.36,3.781581331604557
3.37,3.778630791676034
3.38,3.775084075736882
3.39,3.7709312548712397
3.4,3.7661630185397033
3.41,3.760770713192874
3.42,3.754746379648832
3.43,3.7480827889984196
3.44,3.740773476804977
3.45,3.7328127753703186
3.46,3.724195843846357
3.47,3.714918695981819
3.48,3.7049782253059074
3.49,3.694372227565502
3.5,3.683099420249349
3.51,3.67115945905157
3.52,3.6585529511474464
3.53,3.6452814651765983
3.54,3.6313475378520725
3.55,3.6167546771381893
3.56,3.6015073619649374
3.57,3.5856110384719098
3.58,3.569072112799905
3.59,3.5518979404730238
3.6,3.5340968124380443
3.61,3.515677937850753
3.62,3.4966514237204254
3.63,3.4770282515435764
3.64,3.456820251076174
3.65,3.436040071409567
3.66,3.4147011495292903
3.67,3.392817676547587
3.68,3.370404561809853
3.69,3.3474773950823296
3.7,3.324052407033226
3.71,3.3001464282221726
3.72,3.275776846813588
3.73,3.250961565228345
3.74,3.225718955945209
3.75,3.200067816659099
3.76,3.1740273249974607
3.77,3.1476169929891786
3.78,3.1208566214726705
3.79,3.093766254621297
3.8,3.066366134755178
3.81,3.0386766575990953
3.82,3.0107183281365146
3.83,2.982511717200043
3.84,2.9540774189289047
3.85,2.925436009214408
3.86,2.8966080052449183
3.87,2.8676138262526103
3.88,2.8384737555552557
3.89,2.809207903977573
3.9,2.7798361747281435
3.91,2.750378229799672
3.92,2.7208534579523502
3.93,2.6912809443322803
3.94,2.661679441769341
3.95,2.6320673437914404
3.96,2.602462659384863
3.97,2.57288298952332
3.98,2.543345505481348
3.99,2.513866928940894
4.0,2.4844635138932567
4.01,2.4551510303320216
4.02,2.4259447497263014
4.03,2.396859432257389
4.04,2.3679093157959934
4.05,2.33910810659147
4.06,2.3104689716389797
4.07,2.2820045326853013
4.08,2.2537268618291186
4.09,2.2256474786670344
4.1,2.197777348932352
4.11,2.1701268845698167
4.12,2.1427059451860666
4.13,2.1155238408125094
4.14,2.088589335914712
4.15,2.0619106545802026
4.16,2.0354954868148236
4.17,2.0093509958764164
4.18,1.9834838265737254
4.19,1.957900114457876
4.2,1.932605495833692
4.21,1.9076051185183753
4.22,1.8829036532757168
4.23,1.8585053058549765
4.24,1.8344138295648673
4.25,1.8106325383146642
4.26,1.7871643200563108
4.27,1.7640116505634833
4.28,1.741176607485876
4.29,1.7186608846194504
4.3,1.696465806336029
4.31,1.6745923421183784
4.32,1.6530411211497913
4.33,1.6318124469101152
4.34,1.6109063117331681
4.35,1.5903224112835
4.36,1.5700601589134857
4.37,1.5501186998647456
4.38,1.5304969252808724
4.39,1.5111934860013787
4.4,1.4922068061096478
4.41,1.4735350962104707
4.42,1.4551763664154582
4.43,1.437128439017231
4.44,1.4193889608358026
4.45,1.4019554152229616
4.46,1.3848251337127466
4.47,1.3679953073082625
4.48,1.3514629973971308
4.49,1.3352251462897735
4.5,1.319278587376523
4.51,1.303620054901213
4.52,1.288246193350445
4.53,1.2731535664591471
4.54,1.2583386658343392
4.55,1.2437979192002073
4.56,1.2295276982686647
4.57,1.2155243262405409
4.58,1.2017840849434067
4.59,1.1883032216128093
4.6,1.1750779553243598
4.61,1.162104483084707
4.62,1.1493789855899228
4.63,1.136897632660257
4.64,1.1246565883605566
4.65,1.112652015815942
4.66,1.1008800817325322
4.67,1.0893369606331869
4.68,1.078018838818331
4.69,1.0669219180619862
4.7,1.0560424190531468
4.71,1.045376584592609
4.72,1.0349206825553008
4.73,1.024671008628056
4.74,1.0146238888326575
4.75,1.0047756818438172
4.76,0.995122781111586
4.77,0.9856616167974976
4.78,0.9763886575335308
4.79,0.9673004120127581
4.8,0.9583934304203053
4.81,0.9496643057130018
4.82,0.9411096747558477
4.83,0.932726219323163
4.84,0.9245106669720182
4.85,0.9164597917952811
4.86,0.9085704150613453
4.87,0.900839405747336
4.88,0.893263680972326
4.89,0.8858402063368245
4.9,0.8785659961745435
4.91,0.8714381137221876
4.92,0.8644536712127566
4.93,0.8576098298976063
4.94,0.850903800002265
4.95,0.8443328406207693
4.96,0.8378942595530507
4.97,0.8315854130896785
4.98,0.8254037057480488
4.99,0.8193465899638988
5.0,0.813411565741819
5.01,0.8075961802682423
5.02,0.8018980274901968
5.03,0.7963147476629294
5.04,0.7908440268693295
5.05,0.7854835965139144
5.06,0.7802312327939773
5.07,0.775084756150344
5.08,0.7700420307000354
5.09,0.7651009636529937
5.1,0.7602595047148933
5.11,0.7555156454779302
5.12,0.750867418801361
5.13,0.7463128981834455
5.14,0.7418501971263365
5.15,0.737477468495355
5.16,0.73319290387399
5.17,0.7289947329158657
5.18,0.7248812226948302
5.19,0.7208506770542359
5.2,0.7169014359563983
5.21,0.7130318748331488
5.22,0.7092404039383194
5.23,0.7055254677029363
5.24,0.7018855440938297
5.25,0.6983191439763107
5.26,0.6948248104815088
5.27,0.6914011183789102
5.28,0.6880466734545866
5.29,0.684760111895559
5.3,0.6815400996806956
5.31,0.6783853319785026
5.32,0.6752945325521271
5.33,0.6722664531718573
5.34,0.6692998730353688
5.35,0.6663935981959374
5.36,0.6635464609988061
5.37,0.6607573195258706
5.38,0.6580250570488176
5.39,0.6553485814908321
5.4,0.6527268248969617
5.41,0.6501587429132115
5.42,0.6476433142744207
5.43,0.6451795403009543
5.44,0.6427664444042315
5.45,0.6404030716010918
5.46,0.63808848803699
5.47,0.6358217805179985
5.48,0.6336020560515817
5.49,0.6314284413960991
5.5,0.6293000826189832
5.51,0.6272161446635285
5.52,0.6251758109242225
5.53,0.62317828283054
5.54,0.6212227794391167
5.55,0.6193085370342121
5.56,0.6174348087363664
5.57,0.6156008641191524
5.58,0.6138059888339168
5.59,0.6120494842424054
5.6,0.6103306670571597
5.61,0.6086488689895732
5.62,0.6070034364054909
5.63,0.6053937299882347
5.64,0.6038191244089353
5.65,0.602279008004051
5.66,0.6007727824599516
5.67,0.599299862504445
5.68,0.5978596756051245
5.69,0.5964516616744145
5.7,0.5950752727811911
5.71,0.593729972868855
5.72,0.592415237479736
5.73,0.5911305534857061
5.74,0.5898754188248799
5.75,0.5886493422442846
5.76,0.5874518430483768
5.77,0.5862824508532922
5.78,0.5851407053467068
5.79,0.5840261560531979
5.8,0.5829383621049867
5.81,0.5818768920179536
5.82,0.5808413234728098
5.83,0.5798312431013198
5.84,0.5788462462774626
5.85,0.5778859369134267
5.86,0.576949927260333
5.87,0.5760378377135815
5.88,0.5751492966227207
5.89,0.5742839401057386
5.9,0.5734414118676767
5.91,0.5726213630234714
5.92,0.571823451924926
5.93,0.5710473439917206
5.94,0.5702927115463696
5.95,0.5695592336530341
5.96,0.5688465959601039
5.97,0.5681544905464613
5.98,0.5674826157713412
5.99,0.566830676127707
6.0,0.5661983820990583
6.01,0.5655854500195923
6.02,0.5649916019376411
6.03,0.5644165654823076
6.04,0.5638600737332259
6.05,0.5633218650933733
6.06,0.5628016831648623
6.07,0.562299276627642
