fixed_asym_D=1.0 mm^2/w,fixed_sym_D=1.0 mm^2/w
0.0,0.0
0.0,0.0
0.002126082156352,0.002126082156352
0.0158268450668298,0.01584810507416148
0.0405235219613405,0.04060690298956343
0.0754662058927562,0.075670734996686
0.1199346942634994,0.1203363204773185
0.173267763290158,0.1739582740545035
0.2348642060585021,0.23595027915469222
0.3041777913006457,0.30578016164454913
0.3807112138908955,0.3829639379744206
0.4640103692787137,0.4670601728057595
0.5536592736861214,0.557664970194029
0.6492756521899656,0.6544076222927444
0.750507130139467,0.7569468525597215
0.8570279452797662,0.864967572115281
0.9685361019346076,0.9781780716809622
1.0847508987514352,1.096307581511064
1.2054107723428982,1.2191041424229998
1.330271408901342,1.3463327406613594
1.4591040840990035,1.4777736674718571
1.591694198371887,1.613221070967037
1.7278399802185438,1.7524816733318087
1.867351334645448,1.8953736308606215
2.0100488175559867,2.041725517935205
2.155762719875399,2.191375419006066
2.304332247662893,2.3441701150646654
2.4556047864907837,2.499964353091715
2.609435240052969,2.6586201886235785
2.765685434367718,2.8200063929590584
2.924223580115113,2.9839979176849103
3.0849237866393246,3.1504754101714947
3.2476656219833973,3.3193247745129106
3.4123337140360515,3.490436773085115
3.578817388477649,3.663706664492082
3.747010339733241,3.839033874181147
3.916810331588694,4.016321694448243
4.0881189245128295,4.195477010933209
4.260841227063779,4.376410053034019
4.434885669049259,4.559034165954467
4.610163794364645,4.7432656023488695
4.786590071655088,4.929023331745113
4.964081721142894,5.116228866118315
5.14255855613294,5.304806100155257
5.32194283786006,5.494681164897708
5.502159142476071,5.685782293583532
5.683134239092437,5.87803969862026
5.864796977899796,6.071385458728599
6.047078187479044,6.265753415384829
6.229910580502168,6.461079077772473
6.413228667095491,6.6572995355265
6.596968675204741,6.854353378618408
6.781068477361164,7.052180623788958
6.965467523301653,7.250722646987774
7.150106777944246,7.449922121326207
7.334928664263933,7.649722960092375
7.519877010653082,7.850070264415687
7.704897002386397,8.050910275202828
7.889935136842568,8.252190328998612
8.074939182164004,8.453858817453611
8.259858139062601,8.655865150106287
8.44464220550368,8.858159720210928
8.629242744022187,9.060693873364084
8.813612251445363,9.26341987870173
8.997704330814376,9.466290902457242
9.181473665314172,9.669260983686545
9.364875994036147,9.872285011981761
9.547868089412248,10.075318707008334
9.73040773617203,10.278318599713172
9.912453711686048,10.481242015062907
10.09396576756978,10.684047056181951
10.27490461243233,10.886692589769815
