fixed_asym_D=1.0 mm^2/w,fixed_sym_D=1.0 mm^2/w
4.0,4.0
3.96,4.0
3.921446044,4.0
3.8842861162318902,4.000000260715309
3.848472838454161,4.000003802914425
3.813963695358902,4.000016719943214
3.78072027177501,4.000047494945696
3.748707595146056,4.000106417097962
3.7178935928796624,4.000205107326503
3.688248644349517,4.000356133996223
3.6597452087936513,4.000572700381794
3.6323575143149935,4.000868389596391
3.6060612965463656,4.001256955929444
3.580833578080292,4.001752154021517
3.556652481654384,4.0023675991455265
3.5334970715016136,4.003116653242263
3.5113472183539387,4.004012332404731
3.49018348442062,4.005067232311769
3.469987025314308,4.006293468740767
3.4507395064144,4.007702630786897
3.4324230315710027,4.009305744814249
3.41502008238773,4.011113247485697
3.398513466595048,4.0131349664802665
3.3828862742509385,4.015380107721989
3.368121840692169,4.017857248122209
3.354203715315007,4.020574332985506
3.341115635394685,4.023538677353425
3.328841504262892,4.026756970664594
3.317365373255676,4.030235284197971
3.3066714269233506,4.0339790808408695
3.296743971061561,4.037993226787103
3.287567423180555,4.042282004825122
3.279126305079449,4.04684912892267
3.271405237235104,4.051697759854653
3.2643889347522723,4.056830521655468
3.258062204653692,4.062249518706898
3.252409944316672,4.067956353298523
3.2474171408868746,4.07395214351995
3.243068871521091,4.08023754136365
3.2393503043292133,4.086812750934021
3.236246699901693,4.093677546673039
3.2337434133228515,4.100831291525666
3.2318258965827757,4.108272954979334
3.23047970131134,4.116001130921585
3.2296904817674683,4.124014055268464
3.2294439980250806,4.132309623323689
3.2297261193045927,4.140885406835116
3.230522827405312,4.14973867072071
3.231820220199826,4.158866389441184
3.23360451515654,4.1682652630007935
3.2358620528609934,4.177931732561586
3.238579300510536,4.187861995659677
3.241742855360441,4.198052021015032
3.245339448102624,4.20849756292872
3.2493559461608674,4.219194175263802
3.2537793568888747,4.2301372250079075
3.258596830659609,4.241321905417204
3.2637956638362837,4.252743248742861
3.2693633016170263,4.264396138542363
3.2752873407467447,4.276275321579077
3.28155553209101,4.28837541931435
3.288155783067958,4.300690938997223
3.295076159935214,4.3132162843574795
3.3023048899297573,4.325945765908271
3.309830363259453,4.338873610865079
3.3176411349456547,4.351993972688078
3.3257259265169274,4.365300940255331
3.334073627554468,4.378788546674459
3.3426732970902813,4.3924507777406285
3.351514164859588,4.406281580048856
3.360585632409304,4.420274868768707
3.369877274064744,4.43442453508956
3.379378837756979,4.44872445334463
3.38908024571352,4.463168487821947
3.39897159501518,4.47775049927049
3.4090431580221745,4.492464351109619
3.419285382672624,4.507303915349906
3.429688892656784,4.522263078233411
3.4402444874703995,4.537335745601322
3.450943142350665,4.552515847996849
3.461776008098353,4.567797345511104
3.472734410789696,4.583174232379614
3.483809851381661,4.59864054133701
3.494994005214264,4.614190347737282
3.506278721413591,4.629817773446883
3.517656022199191,4.645516990517837
3.5291181020994897,4.661282224647871
3.5406573270788724,4.6771077584344365
3.552266233580047,4.69298793442939
3.5639375274852765,4.708917158000926
3.5756640830000337,4.724889900009237
3.5874389414625867,4.740900699302245
3.599255310082987,4.7569441650375826
3.6111065606148784,4.773014978836898
3.622986227963488,4.789107896778404
3.63488800873312,4.805217751233454
3.646805759717403,4.821339452552798
3.658733496335476,4.837467990608043
3.67066539101726,4.853598436193705
3.6825957715408704,4.869725942295107
3.694519119325175,4.8858457452272495
3.706430067680433,4.90195316564967
3.71832340001988,4.918043609462143
3.730194048035061,4.934112568586001
3.742037089837623,4.950155621635683
3.753847748070252,4.9661684344850325
3.765621387989309,4.982146760732742
3.7773535155217033,4.998086442071201
3.78903977529844,5.013983408562932
3.800675948667207,5.029833678828638
3.812257951686316,5.045633360150817
3.823781833102221,5.061378648496765
3.835243772312771,5.077065828464676
3.8466400773182943,5.092691273156473
3.8579671826625344,5.108251443980867
3.869221647365379,5.123742890390057
3.8804001528492766,5.139162249553375
3.891499500861145,5.1545062459710955
3.902516611391528,5.169771691031512
3.913448520592673,5.184955482514306
3.9242923786971526,5.200054604043133
3.935045447938573,5.215066124490253
3.9457051004758648,5.229987197335965
3.956268816322576,5.244815059985482
3.9667341812825327,5.259547033045837
3.977098884893165,5.274180519565285
3.987360718377752,5.28871300423763
3.997517572607759,5.3031420525737705
4.0075674360764015,5.317465310042725
4.01750839288451,5.3316805011843025
4.027338620739707,5.34578542869549
4.0370563889698605,5.3597779724925925
4.046660056551733,5.373656088751048
4.056148070155675,5.387417808924799
4.065518962207186,5.401061238747016
4.074771348966092,5.414584557213904
4.083903928624067,5.427986015553258
4.0929154794211575,5.441263936179371
4.101804857781942,5.454416711635823
4.110570996471896,5.467442803527639
4.119212902774515,5.480340741444208
4.127729656689679,5.493109121874349
4.136120409153728,5.505746607114791
4.1443843802816565,5.518251924173329
4.152520857631823,5.530623863667841
4.160529194493509,5.542861278722282
4.168408808197643,5.5549630838607715
4.176159178450976,5.566928253900767
4.183779845693934,5.578755822846341
4.191270409482389,5.590444882782478
4.198630526893512,5.601994582771281
4.205859910955874,5.613404127750949
4.21295832910392,5.624672777438306
4.219925601656921,5.635799845235655
4.226761600322477,5.646784697142673
4.2334662467246265,5.657626750674017
4.240039510956587,5.668325473783296
4.246481410158134,5.678880383794003
4.252792007117612,5.689291046337971
4.258971408898525,5.699557074301899
4.265019765490669,5.709678126782437
4.270937268485725,5.719653908050295
4.276724149777226,5.729484166523818
4.282380680284782,5.739168693752438
4.287907168702458,5.748707323410354
4.293303960271147,5.758099930300823
4.2985714355748055,5.767346429371352
4.303710009360374,5.776446774740108
4.308720129381212,5.785400958733805
