fixed_sym_D=0.4,fixed_asym_D=0.4
4.0,4.0
4.0,3.968
4.0,3.9375456704
4.000004140714109,3.9085664874863877
4.000058383483299,3.881037200190679
4.00024745366183,3.8549743908909693
4.000680381459876,3.8304217206885878
4.001480603130267,3.807439796191163
4.002779076367394,3.786099094574136
4.004709412830962,3.766474938442855
4.007404407738037,3.7486438925353003
4.010993564069008,3.732681174170103
4.015601339597576,3.718658801537355
4.021345927305278,3.7066442873426655
4.028338433819422,3.6966997401476216
4.036682357228894,3.688881273009885
4.046473291241802,3.6832386450337387
4.057798800910384,3.6798150799976184
4.070738428410395,3.678647219706383
4.085363797141142,3.679765179660074
4.101738789716749,3.683192682060211
4.119919780935091,3.6889472467858964
4.139955911015331,3.697040425249653
4.161889387625477,3.707478065330106
4.185755807720564,3.7202605981220924
4.211584492156811,3.7353833392245375
4.239398827567928,3.7528367988352467
4.269216611184023,3.772606996138857
4.301050395214696,3.794675774434183
4.334907828161619,3.819021114206938
4.370791991015013,3.8456174419567484
4.408701726755839,3.8744359330671148
4.4486319619569175,3.9054448073895194
4.490574019571527,3.9386096165185838
4.534515922233099,3.973893521979984
4.58044268557672,4.011257563749286
4.628336601242216,4.050660918677911
4.678177509337281,4.092061148529923
4.729943060233796,4.135414437436511
4.783608965645948,4.180675818658893
4.83914923899911,4.227799390618794
4.896536425146755,4.276738522211917
4.955741819531523,4.327446047466242
5.016735676917901,4.379874449645758
5.079487409849512,4.433976034932726
5.143965777004895,4.489703095849158
5.210139061642983,4.54700806460178
5.27797524034401,4.605843656555092
5.347442142263887,4.666163004054852
5.418507599130679,4.727919780839763
5.49113958622106,4.791068317292805
5.565306354562702,4.855563706795597
5.640976554615797,4.921361903459766
5.718119351693286,4.988419811518502
5.79670453338515,5.056695366669553
5.876702609257171,5.126147609667749
5.958084903099084,5.19673675247094
6.04082363800097,5.268424237247938
6.124892014540013,5.341172788560673
6.21026428236251,5.414946459035405
6.29691580544812,5.48971066883942
6.384823121344827,5.565432239280218
6.473963994663971,5.642079420843821
6.5643174651249065,5.719621915987471
6.65586389043843,5.798030896999718
6.748584984317026,5.877279019237725
6.84246384989827,5.957340430047579
6.9374850088653535,6.0381907736685845
7.033634426545728,6.119807192416886
7.130899533265275,6.202168324437485
7.229269242231248,6.285254298306734
7.328733964212539,6.369046724759839
7.429285619280601,6.453528685809813
7.530917645868678,6.538684721515764
7.633625007400863,6.6245008146494175
7.737404196736013,6.710964373499469
7.842253238664674,6.79806421304378
7.948171690690045,6.885790534709576
8.05516064231658,6.974134904931878
8.163222713062234,7.063090232710284
8.27236204940262,7.152650746354108
8.382584320847382,7.242811969595771
8.493896715341286,7.333570697242263
8.606307934174415,7.424924970524529
8.719828186578017,7.516874052294846
8.834469184174601,7.609418402212571
8.950244135443114,7.702559652049255
9.067167740352328,7.796300581234955
9.18525618530808,7.890645092758627
9.304527138552672,7.985598189526962
9.42499974614764,8.081165951277686
9.546694628664223,8.177355512135453
9.669633878699244,8.274175038890835
9.793841059327788,8.371633710075736
9.919341203598051,8.469741695901643
10.046160815167918,8.568510139120702
10.17432787017747,8.667951136863465
10.303871820446515,8.768077723501438
10.434823598081431,8.868903854577228
10.567215621571169,8.97044439184007
10.701081803448204,9.072715089419951
10.836457559586432,9.175732581169239
10.973379820204466,9.279514369196873
11.111887042639852,9.384078813616584
11.25201922595677,9.48944512352739
