fixed_sym_D=0.4,fixed_asym_D=0.4
0.0,0.0
0.0,0.0
0.0009680996138598,0.0009680996138598401
0.007194638278492,0.0071868956806789034
0.0182406951367756,0.018210376442531512
0.0337022315345679,0.033628004708876995
0.0532297053319823,0.05308428131451411
0.0765183892226712,0.07626901924925318
0.1032992142288268,0.10290814797201321
0.1333318834404434,0.1327567919199726
0.1663997794245088,0.16559414591362756
0.2023061393518242,0.20121962098430818
0.2408711208495959,0.23944988324402425
0.2819295039258308,0.28011653084606775
0.3253288567043071,0.32306423654144534
0.3709280464537447,0.3681492371272636
0.4185960126706071,0.41523808639307747
0.4682107425342565,0.46420661175608413
0.5196584051103007,0.5149390308526733
0.5728326118465257,0.5673271955374762
0.6276337788250527,0.6212699386721323
0.6839685719505798,0.6766725048115988
0.7417494204485129,0.733446050097336
0.8008940871700599,0.7915071997961332
0.8613252865590932,0.8507776542861666
0.9229703429376226,0.9111838360981933
0.9857608831597326,0.9726565720164254
1.0496325587718969,1.0351308053348207
1.1145247936755882,1.0985453342252725
1.1803805539706784,1.162842572859177
1.247146137205541,1.2279683324734654
1.3147709787021344,1.2938716200165212
1.3832074729843091,1.360504452371198
1.4524108086324234,1.427821684448678
1.5223388151303427,1.4957808496914813
1.592951820472297,1.564342011726828
1.664212518464928,1.633467626080814
1.7360858448004657,1.7031224110058194
1.8085388610953503,1.7732732265932192
1.8815406461887352,1.8438889614448133
1.9550621940803643,1.9149404262626297
2.0290763179599254,1.9864002537904712
2.1035575598421525,2.058242804603851
2.178482105375501,2.130444078299516
2.2538277034384206,2.202981629682972
2.32957359017736,2.275834489593452
2.4057004171755136,2.3489830900415583
2.482190183471809,2.4224091933661387
2.55902617117636,2.4960958251444905
2.636192884452103,2.570027210614249
2.713675991653108,2.644188714386793
2.7914622704284096,2.718566783251039
2.8695395556165555,2.7931488918834684
2.9478966897706003,2.867923491295348
3.026523476166293,2.9428799598616724
3.105410634157853,3.0180085567884944
3.184549756756216,3.093300377886273
3.2639332703140727,3.16874731352671
3.3435543962105427,3.2443420086694745
3.4234071144360634,3.3200778248532874
3.5034861289850703,3.395948804053155
3.5837868349704274,3.4719496343122036
3.6643052873793662,3.548075617062634
3.745038171395998,3.624322636055829
3.825982774220308,3.700687127826712
3.907136958317989,3.777166053622064
3.988499136039528,3.8537568727267355
4.070068245550736,3.9304575171255807
4.15184372802032,4.007266367442491
4.233825506013293,4.084182230101196
4.3160139630419625,4.161204315655515
4.398409924228916,4.238332218239522
4.48101463803896,4.3155658960906775
4.563829759039288,4.392905653101338
4.646857331649304,4.470352121356289
4.730099774843578,4.547906244615965
4.813559867773221,4.625569262706971
4.897240736272798,4.70334269678324
4.98114584022147,4.781228335422876
5.065278961728633,4.859228221527252
5.14964419411576,4.937344639990413
5.234245931667507,5.015580106108169
5.319088860126434,5.093937354697617
5.404177947906919,5.17241932989899
5.489518438004987,5.251029175632924
5.575115840581889,5.329770226687345
5.660975926200304,5.408646000409175
5.747104719693061,5.487660188977121
5.833508494645224,5.566816652232721
5.920193768471323,5.646119411047763
6.007167298070417,5.725572641207058
6.094436076042514,5.805180667786432
6.182007327450754,5.8849479600065795
6.269888507114543,5.96487912654425
6.358087297419631,6.044978911283002
6.446611606631921,6.1252521894864955
6.535469567702519,6.205703964378026
6.624669537552328,6.2863393641107255
6.714220096825158,6.367163639113517
6.804130050099092,6.448182159798606
6.8944084265465335,6.529400414616933
6.985064481034042,6.6108240084486525
7.076107695653773,6.692458661316354
7.167547781678987,6.7743102074093
7.25939468193679,6.856384594407619
7.351658573591887,6.938687883095924
7.444349871335823,7.021226247256428
7.537479230976788,7.104005973832188
7.631057553425737,7.187033463351641
7.72509598907517,7.270315230606152
7.81960594256756,7.353857905572806
7.914599077951033,7.437668234575202
8.010087324220487,7.521753081675499
8.106082881242969,7.606119430291462
8.202598226066696,7.690774385032747
8.299646119613701,7.775725173751118
8.397239613756666,7.860979149799753
8.495392058781041,7.9465437944972805
8.59411711123417,8.032426719792564
8.6934287421636,8.11863567112675
8.793341245747387,8.205178530489473
8.893869248319644,8.292063319666545
8.995027717795177,8.379298203676843
9.096831973497466,8.466891494396517
9.199297696394828,8.554851654369015
9.302440939749976,8.643187300799806
9.406278140188698,8.731907209735029
9.51082612919382,8.821020320423694
9.616102145030956,8.910535739863358
9.722123845113025,9.000462747529584
9.828909318810826,9.090810800289809
9.936477100717298,9.18158953750256
10.044846184373412,9.272808786303301
10.154036036463914,9.364478567078473
10.26406661149133,9.45660909912963
10.374958366936896,9.549210806529805
10.486732278917156,9.642294324174618
10.599409858345124,9.735870504030807
10.713013167604869,9.829950421585233
10.827564837748422,9.9245453824976
10.943088086223815,10.019666929460431
11.059606735142784,10.115326849270044
11.177145230096556,10.211537180112556
11.29572865952773,10.308310219069119
11.415382774665764,10.405658529844857
11.536134010033145,10.503594950726123
11.658009504528492,10.602132602770965
11.781037123092236,10.70128489823778
11.905245478959252,10.80106554925741
12.03066395650206,10.901488576753987
12.15732273466662,11.002568319620066
12.285252811001412,11.104319444151658
12.41448602627874,11.206756953748897
12.545055089705285,11.309896198888186
12.676993604716724,11.413752887371702
12.81033609534881,11.518343094860231
12.945118033174502,11.6236832756953
13.081375864793731,11.729790274016567
13.21914703985886,11.83668133518045
13.358470039615144,11.944374117485824
13.499384405931291,12.052886704212627
13.64193077079045,12.162237615978993
13.786150886206883,12.272445823422396
13.93208765452788,12.383530760210075
14.07978515907416,12.495512336383708
14.229288695065286,12.608410952043018
14.380644800768968,12.722247511372567
