fixed_sym_D=0.4,fixed_asym_D=0.4
0.0,0.0
0.0,0.0
0.008504328625408,0.008504328625408
0.0629700505075249,0.06290200399377166
0.1584341493446469,0.1581688064741078
0.2906415002589232,0.28999321020245206
0.4561187979310522,0.4548488239344556
0.6520124397843008,0.6498311761088154
0.8759514043923232,0.8725197719495212
1.1259445119708806,1.120874735428832
1.4003036544830447,1.3931595726060437
1.69758554617759,1.6878825709156453
2.0165467568936,2.0037515703941318
2.35610844552465,2.3396385047431147
2.715328317168441,2.694551221103526
3.093378058627727,3.0676108220433056
3.489524996825144,3.458033265703615
3.903117059587886,3.865114296821571
4.333570352003671,4.28821701649418
4.780358827940254,4.726761565992211
5.243005656914925,5.180216521324715
5.721075975330209,5.648091684693333
6.214170777480997,6.129932025832384
6.721921752005072,6.6253125768598675
7.243986907955543,7.133834123054479
7.780046864483111,7.655119562007077
8.32980170141324,8.18881082707161
8.892968286369255,8.734566289552292
9.46927800868592,9.292058568778433
10.058474862039285,9.860972691001912
10.660313827132402,10.441004547554968
11.274559513411672,11.031859610419973
11.900985025018777,11.633251869664722
12.539371021296612,12.244902962376827
13.189504946388343,12.866541467014375
13.85118040597181,13.497902340653619
14.524196672095506,14.138726479596821
15.208358299536156,14.788760386314532
15.903474839169249,15.447755927823778
16.609360635602137,16.11547017241701
17.32583469782099,16.791665293212105
18.052720632892868,17.47610852833664
18.78984663387967,18.168572188726234
19.537045514091037,18.868833705537067
20.29415478065293,19.576675710070138
21.061016741117484,20.29188613989948
21.83747863750349,21.014258365604
22.623392802749635,21.743591333135953
23.41861683509403,22.479689717428823
24.22301378637363,23.2223640833624
25.0364523606723,23.971431050669977
25.858807120142927,24.72671345979781
26.6899586951918,25.48804053611509
27.529793996546413,26.25524805022752
28.378206427034566,27.028178472472426
29.235096091185117,27.806681119971
30.10037000102206,28.59061229488594
30.97394227666494,29.379835412782278
31.855734340571637,30.17422112021741
32.745675104466066,30.973647400894468
33.643701148183496,31.777999669902616
34.54975688984177,32.58717085573961
35.463794746908135,33.40106146996706
36.38577528787952,34.21957966448841
37.31566737442923,35.042641276564055
38.25344829399666,35.87016986178897
39.19910388290809,36.70209671535531
40.15262864021774,37.538360882007744
41.114025832548464,38.37890915517264
42.0833075902922,39.22369606580446
43.06049499560133,40.07268386154513
44.04561816266445,40.925842476834944
45.038716310814216,41.78314949464737
46.03983783106073,42.644590100546026
47.04904034668314,43.510157029780665
48.066390768544046,44.37985050815034
49.09196534581687,45.25367818736769
50.12584971283658,46.13165507565802
51.16813893279856,47.01380346432192
52.21893753904006,47.90015285098078
53.27835957464457,48.79073986021123
54.34652863111013,49.68560816225802
55.42357788682142,50.5848083904955
56.50965014605968,51.48839805828594
57.60489787927733,52.39644147585919
58.70948326535371,53.30900966781307
59.82357823653697,54.22618029180699
60.94736452676301,55.14803755899439
62.08103372402843,56.074672156711394
63.224787327478175,57.00618117391105
64.37883680985276,57.942668029804466
65.54340368592294,58.88424240614206
66.71871958752318,59.83102018354094
67.9050263457782,60.78312338223739
69.10257608110074,61.74068010761731
70.31163130152233,62.70382450085261
71.53246500990345,63.67269669494707
72.76536082055495,64.6474427764722
74.01061308578834,65.62821475325204
75.26852703289998,66.61517052823493
76.53941891208216,67.60847387977114
77.82361615574321,68.60829444849735
79.12145754970952,69.61480773101218
80.4332934167735,70.6281950805119
81.75948581304479,71.64864371454142
83.10040873755614,72.67634673000325
84.45644835557046,73.71150312555575
85.82800323603279,74.75431783152237
87.21548460360853,75.80500174742453
88.61931660574872,76.86377178724392
90.03993659522348,77.93085093251358
91.47779542856654,79.00646829333205
92.93335778087652,80.09085917739131
94.40710247742442,81.18426516710618
95.89952284252188,82.28693420493136
97.4111270661106,83.39912068695136
98.94243858854004,84.52108556482881
100.49399650400828,85.65309645619776
102.0663559831492,86.79542776359055
103.66008871525804,87.9483608019894
105.27578337065717,89.11218393509748
106.91404608371364,90.28719272042848
108.57550095703029,91.47369006331813
110.26079058734304,92.67198637996718
111.97057661366684,93.88239976963075
113.70554028824355,95.10525619607598
115.46638307085524,96.3408896784366
117.25382724707524,97.58964249160067
119.06861657103931,98.85186537627567
120.91151693332657,100.127917758883
122.78331705454686,101.41816798144302
124.68482920523816,102.72299354162008
126.61688995267964,104.04278134310648
128.58036093522983,105.37792795653316
130.57612966479914,106.72883989110483
132.60511035806223,108.09593387716639
134.66824479701174,109.47963715991739
136.76650321944487,110.88038780450084
138.90088523996204,112.29863501270252
141.07242080203991,113.73483945150623
143.28217116171894,115.18947359376044
145.5312299034186,116.6630220712207
147.82072398835993,118.15598204024157
150.15181483603496,119.66886356040082
152.525699439115,121.20218998634695
154.94361151213388,122.75649837316944
157.40682267421693,124.33233989559879
159.91664366605104,125.93028028135068
162.47442560120504,127.55090025893472
165.08156125180955,129.19479602025459
167.73948636849437,130.86257969833068
170.449681034352,132.55487986048107
173.2136710525541,134.27234201729874
176.03302936708351,136.01562914776562
178.90937751586492,137.78542224084345
181.84438711537297,139.58242085388113
184.83978137557125,141.40734368817505
187.8973366437833,143.26092918201422
191.0188839758184,145.14393612153546
194.20631073236436,147.05714426970465
197.4615621983202,149.00135501372895
200.7866432223623,150.97739203118985
204.18361987362496,152.9861019751703
207.6546211119201,155.02835517862766
211.20184046742165,157.10504637824022
214.82753772519305,159.21709545792604
218.5340406093394,161.36544821219988
222.32374646091415,163.5510771294961
226.1991239030003,165.77498219554167
230.16271448561517,168.03819171681477
234.21713430225185,170.34176316406788
238.36507556896316,172.68678403583255
242.60930815591504,175.07437274175177
