fixed_sym_D_1.0_ooo,fixed_asym_D_1.0_oor,fixed_asym_D_1.0_orr,fixed_sym_D_1.0_rrr
413.2098283421976,382.5592615345402,170.79035947655495,112.159504562624
415.5040726234758,382.816131867306,177.63813974670356,114.33685019314166
417.9364267305387,383.2901850549645,184.67159477374037,116.69394841953574
420.4994823097669,383.97426278097856,191.8990880092252,119.23436741638807
423.18637881527656,384.8618484541749,199.3290879006289,121.96252268402233
425.9907462340959,385.9470101585901,206.9701889323865,124.88367056229652
428.90665512646063,387.2243507157239,214.8311310907703,128.00390982149685
431.928572868457,388.6889637652716,222.9208179871964,131.3301907618922
435.0513251760548,390.3363949656353,231.24833383605136,134.87033140371727
438.2700621475524,392.1626075746117,239.82295945270732,138.63304047801816
441.5802281902274,394.1639517991102,248.6541874125605,142.62794704013004
444.9775353016561,396.3371374062763,257.7517364912071,146.8656366252781
448.4579392613495,398.6792091719697,267.1255654883404,151.3576939530075
452.01761835792365,401.1875248102706,276.7858865229673,156.11675226642262
455.6529543340834,403.8597350828555,286.74317787464696,161.15654946565806
459.3605152787439,406.6937658322543,297.00819643428457,166.49199126434587
463.1370402346033,409.6878017202098,307.5919898182917,172.1392216645381
466.9794253219613,412.84027148318455,318.50590819141723,178.1157011108022
470.8847112067759,416.1498345427432,329.7616158360708,184.44029274907317
474.8500717638431,419.6153688300535,341.3711024993434,191.13335728121797
478.8728038053376,423.2359597018745,353.3466945430414,198.21685697293915
482.9503177613931,427.0108898407488,365.70106591678046,205.7144694413197
487.0801292134289,430.9396300451698,378.4472489694352,213.6517119196294
491.25985119293904,435.0218308266641,391.5986451099258,222.05607677155533
495.4871871687965,439.2573147403148,405.1690353243781,230.95717910531826
499.75992465503646,443.6460693835219,419.17259055305465,240.38691742068715
504.0759293788086,448.1882410049572,433.6238819270717,250.37964830915143
508.4331399548976,452.88412867190056,448.5378908617468,260.9723763198665
512.8295630190581,457.734178949572,463.9300190004256,272.2049602018113
517.2632687775272,462.73898105083657,479.8160979997831,284.12033683619313
521.7323869345568,467.89926241883376,496.2123991448556,296.7647642827463
526.235102963752,473.2158847087673,513.135642779412,310.1880854793547
530.7696546924716,478.68984013834455,530.6030075346956,324.4440142564473
535.3343291716183,484.3222481792383,548.6321393370458,339.5904454557965
539.9274598058593,490.1143525645054,567.2411601724264,355.6897910774801
544.5474237217331,496.06751858917903,586.4486765834299,372.8093445184263
549.1926393532401,502.18323068328607,606.2737878718943,391.0216751104995
553.8615642264255,508.4630902383642,626.7360939778373,410.4050553145589
558.552692926174,514.9088136701846,647.8557030029937,431.0439230780279
563.2645552299574,521.5222307018521,669.6532383448196,453.0293820155137
567.9957143946474,528.3052828527718,692.149845404398,476.4597422226533
572.7447655837366,535.260022120159,715.3671978292554,501.44110467972814
577.5103344234129,542.388609840839,739.3275032496616,528.0879923400331
582.2910756769319,549.6933157220498,764.0535084645538,556.5240311239244
587.0856720276273,557.1765170308344,789.5685040307856,586.8826841472609
591.8928329617158,564.8406979323993,815.8963282069764,619.3080425956481
596.7112937427855,572.6884489685317,843.0613702008151,653.9556767050525
601.539814470525,580.722466667815,871.0885726662711,690.9935503147541
606.3771792168565,588.94555327997,900.0034333947926,730.6030024079639
611.2221952331852,597.3606166271813,929.832006142231,772.9797989340698
616.0736922229805,605.9706700657488,960.6009005309458,818.3352579969469
620.9305216743608,614.7788325518434,992.3372809643112,866.8974511754741
625.7915562477699,623.7883288055398,1025.0688644886957,918.9124832911392
630.6556892142179,633.0024895676564,1058.823917535924,974.6458523251529
635.5218339399041,642.424751944257,1093.631251477282,1034.383890381069
640.3889234133644,652.0586598339572,1129.520216918299,1098.435285550814
645.2559098115748,661.9078644334456,1166.5206966618762,1167.132683229138
650.1217641017171,671.9761248168589,1204.6630972658231,1240.8343637849825
