euler,RK_rtol_1e-05_atol_1e-08
405.5668566613784,20739.95151733102
21722.29367125964,21722.30778592253
22503.17996091894,22503.185584406703
23150.397348626477,23150.386076600866
23702.288682669896,23702.307879919954
24182.377746643862,24182.369659434844
24606.266048943588,24606.239788599385
24984.891580149502,24984.869233733953
25326.2491819224,25326.246734427852
25636.375471966538,25636.371281412008
25919.948866171977,25919.941609592635
26180.673569577128,26180.666090559902
26421.53536049169,26421.53284358291
26644.97773536672,26644.98841071348
26853.02666354745,26853.037015000125
27047.381092881315,27047.392950292964
27229.47998815505,27229.48518118096
27400.552898118527,27400.545449283567
27561.658714579047,27561.635000172973
27713.71580710566,27713.71114077148
27857.52575288161,27857.50981615058
27993.792238542545,27993.776107685753
28123.136273340857,28123.10987940653
28246.10854953509,28246.091949320195
28363.19957184221,28363.192760431164
28474.848024437477,28474.82033427291
28581.447732565382,28581.430915348552
28683.35349381856,28683.345839100097
28780.88599306155,28780.882085356585
28874.33596898125,28874.306396182008
28963.96776525475,28963.962666897765
29050.02237245425,29049.998483723117
29132.720045988903,29132.70247730479
29212.26256912101,29212.25856598373
29288.835217291184,29288.812736653672
29362.608469836174,29362.577089556824
29433.73950707952,29433.735359708495
29502.373524264454,29502.365309955494
29568.64488853605,29568.639870804913
29632.67816090147,29632.667313533126
29694.58900160118,29694.573164342004
29754.484974451647,29754.470789232528
29812.466263348968,29812.458105805334
29868.626312156972,29868.618710968243
29923.052397565207,29923.04916930564
29975.82614313274,29975.81835196953
30027.023981583097,30027.01015343756
30076.717571445846,30076.669887676253
30124.974173320217,30124.957354661576
30171.85699033916,30171.84165895063
30217.425476819444,30217.421976326583
30261.7356185754,30261.725415059173
30304.84018794059,30304.822016896924
30346.788976166637,30346.780556235917
30387.62900554718,30387.624581165608
30427.40472333627,30427.369287385573
30466.158179288563,30466.1523032819
30503.929188439637,30503.924872584226
30540.75548056144,30540.717576665393
30576.67283756877,30576.658620396996
30611.71522001244,30611.692067133066
30645.91488367313,30645.865581781938
30679.30248716157,30679.292290886966
30711.90719133641,30711.865462624388
30743.75675126699,30743.745510265668
30774.87760139503,30774.866913740036
30805.294934482707,30805.252820215628
30835.032774877596,30835.028946364808
30864.114046572227,30864.098900999612
30892.560636491,30892.556000845107
30920.39345339498,30920.37725130717
30947.632482759967,30947.62309911799
30974.29683794881,30974.278984634213
31000.404807970743,31000.391141964228
31025.97390209372,31025.96437581139
31051.02089155183,31050.98349081931
31075.561848568977,31075.55041362598
31099.61218290053,31099.568652581143
31123.186676077174,31123.183089062044
31146.299513520036,31146.29090493106
31168.964314681423,31168.952682017014
31191.19416135304,31191.189939866563
31213.001624271736,31212.986419431116
31234.39878814248,31234.373143446846
31255.3972751884,31255.389062995484
31276.00826732913,31275.973843024072
31296.242527080867,31296.23436514504
31316.11041726405,31316.100126573154
31335.62191959807,31335.58546133665
31354.786652256524,31354.777184838924
31373.61388645076,31373.584659756267
31392.112562104357,31392.107850905846
31410.291302677077,31410.267611248044
31428.158429191724,31428.14980479581
31445.72197351431,31445.713330483282
31462.989690933613,31462.9791509555
31479.969072083502,31479.934478670082
31496.667354247995,31496.655227174786
31513.09153208625,31513.075525968576
31529.2483678125,31529.240830176084
31545.144400862933,31545.111675207678
