evolving_sym_D_0.4_ooo,evolving_asym_D_0.4_oob,evolving_asym_D_0.4_obb,evolving_sym_D_0.4_bbb
400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.0,400.0
400.3758334233771,400.3754311830181,400.22734399511154,400.2261296534668
400.9690551091783,400.9674732557746,400.67655728821086,400.6717581847672
401.81796092044846,401.8140704739848,401.3375425496736,401.3256819789547
402.9108682908739,402.9032089379331,402.20029336477353,402.1768305631719
404.2371201191028,404.2239176992774,403.2556415689889,403.21500742865334
405.7871512750346,405.76633286597297,404.4953446576514,404.43097179689164
407.55240945452334,407.5216163777295,405.912024589507,405.81637250206643
409.5252477789673,409.48184679746765,407.4990759068903,407.36365179684447
411.6988205062112,411.639913444174,409.2505749569331,409.06595077409963
414.0669899033127,413.98942188426815,411.16119859343183,410.9170247099503
416.62424534529407,416.52461181802494,413.22615368511424,412.9111695930305
419.3656336218562,419.24028632005377,415.4411166230119,415.04315898226105
422.2866989411403,422.13175090362415,417.8021814879056,417.3081898118481
425.383431146812,425.1947609087854,420.3058155358922,419.7018357658874
428.65222084516927,428.4254758970871,422.94882081686336,422.2200070070282
432.08982034462935,431.8204199433664,425.7283009274513,424.8589152347892
435.6933094984038,435.3764469051871,428.64163207319393,427.6150432259421
439.4600657012951,439.0907099120409,431.6864377623533,430.48511816008045
443.3877374234018,442.96063444944514,434.8605665754173,433.4660881576301
447.4742207706856,446.98389452123934,438.16207255296257,436.55510155835196
451.717638649098,451.1583914609683,441.5891978241705,439.7494885498257
456.1163221792073,455.4822350342093,445.1403571625244,443.0467448211976
460.66879406531547,459.95372653136695,448.8141242071741,446.44451697076846
465.37375366958526,464.57134359752496,452.6092191306498,449.9405894393408
470.2300635798401,469.3337265845418,456.5244975680331,453.5328727766633
475.2367374911243,474.23966624240376,460.5589406509304,457.21939307740547
480.3929292471474,479.288092593226,464.71164601287296,460.9982824471192
485.6979229094188,484.47806485327527,468.9818196520616,464.867770378588
491.15112374002655,489.8087622867952,473.3687685534509,468.82617593560457
496.75204999928405,495.2794758909123,477.87189398562384,472.8719006551719
502.5003254723733,500.8896008240053,482.49068539923417,477.0034220908784
508.3956726500722,506.6386295010512,487.224714863364,481.2192879301518
514.4379064980001,512.5261452889607,492.0736319842701,485.5181106265532
520.6269287568138,518.5518167430511,497.0371592579209,489.8985624954984
526.9627227226719,524.7153923328012,502.11508781365694,494.3593712279798
533.4453484632138,531.0166956110736,507.3072735114032,498.89931578219046
540.0749384294435,537.4556207862165,512.6136333592577,503.5172226175466
546.8516934283698,544.0321286610063,518.0341422220855,508.2119622395893
553.7758789251465,550.746242906351,523.5688297950461,512.9824460277054
560.8478216468545,557.5980466411402,529.2177778188665,517.8276233206271
568.0679064630507,564.5876792926612,534.9811175161784,522.7464787373069
575.4365735208238,571.7153337146733,540.8590272304457,527.7380297130759
582.9543156144107,578.9812535425815,546.8517302509402,532.8013242330297
590.6216757714598,586.3857307672313,552.9594928089305,537.9354387463762
598.4392450398354,593.9291035106849,559.182622231751,543.139476247062
606.4076604604597,601.6117539889716,565.5214652427553,548.4125645073979
614.5276032131073,609.4341066482584,571.9764063963329,553.753854452647
622.799796923342,617.3966264621788,578.5478666382276,559.1625186656453
631.2250061199125,625.4998173792135,585.2363019823251,564.63775001151
639.8040348329379,633.7442209100506,592.0422022959194,570.1787603733744
648.5377253241221,642.1304148457749,598.96609018621,575.7847794908726
657.4269569410461,650.6590120985713,606.0085199814567,581.4550538938051
666.4726450883229,659.3306596573696,613.1700768008194,587.1888459240521
675.6757403090545,668.1460376515319,620.4513757074487,592.9854328393682
685.037227470627,677.1058585162922,627.8530609398866,598.8441059932112
