D=0.0 mm/w,D=0.25 mm/w,D=0.5 mm/w,D=0.75 mm/w,D=1.0 mm/w
100.0,100.0,100.0,100.0,100.0
99.98360208,99.98360208,99.98360208,99.98360208,99.98360208
99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133,99.8934722900133
99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431,99.8039498534431
99.71668115049596,99.7166811443588,99.71668110139863,99.71668098479252,99.71668075771744
99.63179415903863,99.6317941288806,99.63179391863292,99.63179335056655,99.63179224952798
99.54915906230303,99.54915897337328,99.54915835591044,99.5491566951841,99.5491534913752
99.46860051040622,99.46860030641828,99.46859889580338,99.46859511901684,99.46858786688333
99.38994752665631,99.38994712553875,99.38994436292016,99.38993699968064,99.38992292635025
99.31304558821198,99.31304487824715,99.3130400081643,99.31302708628434,99.31300250253742
99.23775820792603,99.23775704424908,99.2377490938802,99.23772809358816,99.23768832391967
99.1639655065026,99.16396370793396,99.16395146903872,99.16391928531036,99.16385861487377
99.09156208080528,99.09155942699324,99.09154144032168,99.09149435251943,99.0914059889584
99.02045490270176,99.02045113155158,99.02042567350944,99.02035932158564,99.02023536995489
98.95056146299896,98.9505562683684,98.9505213397442,98.95043070632936,98.95026215548182
98.8818081971426,98.88180122678376,98.8817545433581,98.8816339411135,98.88141066009022
98.81412917072612,98.81412002445566,98.8140590093266,98.81390207299356,98.81361281609756
98.7474649872176,98.74745321529804,98.74737499276893,98.74717467539617,98.74680709476186
98.68176187996352,98.68174698168018,98.6816483725674,98.6813969454422,98.6809376100311
98.6169709550804,98.61695237749836,98.61682989572734,98.61651895157718,98.61595337163766
98.55304755740062,98.55302469428852,98.55287454465557,98.55249500372406,98.55180765985081
98.48995073682346,98.48992292773045,98.48974100471708,98.48928312335212,98.48845749936918
98.42764279682572,98.42760932629956,98.42739121383424,98.42684459525756,98.42586321422898
98.36608891048392,98.36604900741868,98.36578997948806,98.36514358644416,98.36398804918865
98.30525679223923,98.3052096293416,98.3049046513608,98.30414682036884,98.3027978459208
98.24511641592532,98.24506110928918,98.24470484014638,98.24382329710312,98.24226076462166
98.18563977139117,98.18557538017116,98.18516217486822,98.18414405177155,98.18234704345265
98.1268006534899,98.12672617966432,98.12625009248016,98.12508194506285,98.12302878965876
98.06857447834658,98.06848886656122,98.06794365466966,98.06661148075098,98.06427979734451
98.01093812273024,98.01084026021496,98.01021938769352,98.00870864607352,98.00607538779387
97.95386978308682,97.95375849963672,97.95305514180676,97.95135077154237,97.94839226894563
97.89734885137784,97.89722291939206,97.8964299674342,97.89451640735052,97.89120841121908
97.84135580534642,97.84121393991684,97.84032400571,97.83818521401268,97.8345029373566
97.78587211121967,97.78571297026308,97.78471839139728,97.782337865263,97.77825602433217
97.730880137173,97.73070232159994,97.72959516651706,97.72695596154924,97.722448815688
97.67636307614188,97.67616513005603,97.67493720327452,97.67202195272117,97.66706334291732
97.62230487678217,97.62208528770375,97.62072813508584,97.61751906872406,97.61208245472245
97.56869018155592,97.5684473806635,97.56695229468583,97.56343125728554,97.55748975315237
97.51550427107033,97.5152366334549,97.51359465844476,97.5097431277304,97.50326953576848
97.46273301391876,97.46243885884476,97.46064079614608,97.45643990018124,97.44940674310915
97.41036282137904,97.41004041254628,97.4080768255809,97.40350735950612,97.39588691082422
97.35838060640992,97.35802815221108,97.35588937140218,97.35093181346002,97.34269612593683
97.30677374646216,97.30638940023049,97.30406552775548,97.298700054542,97.28982098676124
97.25553004968292,97.25511190992438,97.25259282426622,97.2467993251506,97.23724856606685
97.20463772414624,97.20418383475092,97.20145919501664,97.19521728567364,97.18496637712995
97.15408534978796,97.1535937002149,97.15065295019146,97.14394198519403,97.13296234235945
97.103861852763,97.10333037819322,97.10016275011016,97.0929618345314,97.08122476422022
97.05395648197694,97.05338306342888,97.04997758139822,97.04226558137267,97.02974229821032
