D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
0.0,0.0,0.0,0.0,0.0
0.01639792,0.01639792,0.01639792,0.01639792,0.01639792
0.1062856850832263,0.1062856850832263,0.1062856850832263,0.1062856850832263,0.10628568508322632
0.1942396818360826,0.1942396818360826,0.1942396818360826,0.1942396818360826,0.19423968183608267
0.2786435128878679,0.2786435190279742,0.2786435620087178,0.2786436786707363,0.2786439058546672
0.3594227866418487,0.3594228167288513,0.3594230264788272,0.359423593192382,0.3594246915929922
0.4367617535388419,0.4367618420065664,0.436762456243504,0.4367641082391797,0.4367672950970488
0.5108872546505371,0.510887456997921,0.5108888561982013,0.5108926022118253,0.5108997948360047
0.5820182140382077,0.582018610785321,0.5820213430982448,0.5820286249462835,0.5820425414928498
0.6503536988642915,0.6503543990632507,0.6503592016548919,0.6503719429557542,0.6503961801935128
0.7160716511107604,0.7160727954455891,0.7160806125881981,0.7161012577514968,0.7161403485743241
0.7793306447180629,0.7793324082249491,0.7793444064219639,0.7793759509263534,0.7794354040938875
0.8402723181401951,0.8402749125772432,0.8402924929904849,0.8403385058789383,0.8404248302173816
0.8990237383853464,0.8990274142787801,0.8990522227030286,0.899116862141147,0.8992375772105663
0.95569948334553,0.9557045317373438,0.9557384663479626,0.95582648901517,0.9559901240461348
1.0104034101813877,1.0104101641016523,1.0104553811830517,1.0105721461975217,1.010788228915919
1.063230136577814,1.0632389722631896,1.06329789010952,1.0634493581247348,1.063728394917138
1.114266276885047,1.114277614763536,1.11435291592794,1.114545643981311,1.1148990927026459
1.1635914748551075,1.1636057803156867,1.1637004123705863,1.1639415450120618,1.1643817816009485
1.211279269490423,1.2112970534548937,1.2114142284130476,1.2117114855936435,1.2122517655373706
1.2573978244041335,1.2574196437173328,1.2575628362516622,1.2579244984079825,1.2585789139873464
1.3020105454433633,1.3020370030967827,1.3022099476861484,1.3026448384168443,1.303428272560001
1.3451766065422577,1.345208351745084,1.3454150388632462,1.3459325055566824,1.3468605830397138
1.386951399869718,1.386989127980371,1.3872337994361728,1.387843692175033,1.3889327288242517
1.4273869232101342,1.4274313755404997,1.4277185190688586,1.428431168106765,1.4296981185830728
1.4665321150287554,1.4665840785325033,1.4669184217279974,1.4677446138051995,1.469207018483344
1.5044331456997135,1.5044934525553395,1.5048799562329889,1.505830909972586,1.5075068413672796
1.5411336718066584,1.5412031989051975,1.5416470499664223,1.542734390569202,1.544642399705191
1.576675059176572,1.5767547275232916,1.577261331398935,1.578497064833594,1.58065612790731
1.6110965793079512,1.6111873533467378,1.6117623260834308,1.6131588129494747,1.6155882785854443
1.6444355830515127,1.644538469920127,1.6451876299711117,1.6467575591940065,1.649477096559213
1.6767276547531915,1.6768437034770565,1.6775730632538413,1.679329425755841,1.6823589737593716
1.7080067495430529,1.7081370501747797,1.7089528074116471,1.7109088698870285,1.7142685876602024
1.7383053160246362,1.738450998736068,1.7393595277154523,1.741528806625538,1.7452390254489658
1.7676544062675503,1.7678166404007127,1.7688244830838054,1.7712207189750404,1.7753018957933941
1.7960837747164629,1.79626376779945,1.7973776249030404,1.8000147571403946,1.8044874297828069
1.8236219673899017,1.823820964123405,1.8250476861808984,1.827939828178931,1.8328245723826113
1.8502964025429949,1.850515683762878,1.851862262204638,1.8550236772295767,1.8603410655462167
1.8761334438018176,1.8763743254228789,1.877847883708506,1.8812929613165936,1.8870635239652027
1.9011584666374424,1.9014222985832536,1.9030300834160965,1.9067733165861704,1.913017504301967
1.9253959189301988,1.9256840840537035,1.927433456705817,1.9314894197175585,1.9382275686342219
1.948869376275264,1.9491832892746097,1.9510817170484955,1.955465044151932,1.9627173427437803
1.971601592596312,1.971942698930228,1.9739977467819927,1.9787231116986344,1.9865095697999555
1.9936145465620567,1.99398432136894,1.9962036437160124,2.0012857400073742,2.0096261599180734
