D=0.0 mm^2/w,D=0.25 mm^2/w,D=0.5 mm^2/w,D=0.75 mm^2/w,D=1.0 mm^2/w
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0002420249034649,0.0002420249034649,0.0002420249034649,0.0002420249034649,0.00024202490346496002
0.0018104647208128,0.0018104647208128,0.0018104647208128,0.0018104647208128,0.001810464720812858
0.0046753366161602,0.0046753366132184,0.0046753365926258,0.0046753365367317,0.004675336427885436
0.0087830543195054,0.0087830543905263,0.0087830548882637,0.0087830562410586,0.00878305887902395
0.0140791841581263,0.0140791846201611,0.0140791878460659,0.0140791965767126,0.014079213527749861
0.020512234943244,0.0205122365837962,0.0205122479984231,0.0205122787713289,0.020512338280664757
0.0280342593054778,0.0280342636759297,0.0280342939816036,0.0280343753730752,0.028034532156895154
0.0366007129237339,0.0366007226895849,0.0366007901808255,0.0366009707599031,0.03660131726906682
0.0461701409632003,0.0461701603053402,0.0461702935316215,0.0461706486603522,0.046171327506001815
0.0567038487793578,0.0567038838410908,0.0567041245393428,0.0567047637632703,0.0567059810323375
0.0681656010545298,0.0681656604295207,0.0681660666878562,0.0681671416016068,0.06816918082422374
0.0805213589129128,0.0805214541696459,0.0805221037875386,0.080523816273195,0.08052705283455137
0.0937390536555335,0.093739199894268,0.093740193907844,0.0937428046554455,0.09374772047204946
0.1077883926760331,0.1077886091145972,0.1077900754588632,0.107793912688955,0.10780111099385953
0.122640692696059,0.1226410032811648,0.1226431005639019,0.1226485688816805,0.12265878898530788
0.1382687358973606,0.138269169938431,0.1382720913031598,0.1382796806225121,0.13829381253550022
0.1546466451813627,0.1546472380041571,0.1546512150620453,0.1546615095457403,0.15468060836796452
0.1717497754291888,0.1717505690467827,0.1717558758596421,0.1717695628291711,0.17179486282497938
0.1895546181952482,0.1895556619941783,0.1895626190927971,0.1895804978679476,0.18961342616185448
0.208038717733182,0.2080400691728066,0.2080490475968021,0.2080720382310412,0.20811422807083557
0.2271805966320298,0.2271823219553762,0.2271937473025487,0.2272228991857478,0.22727620273131954
0.2469596896463874,0.246961864600969,0.2469762210757978,0.2470127213807928,0.24707922198711874
0.2673562845506413,0.2673589951179249,0.2673768295703879,0.2674220115243901,0.26750403549615387
0.2883514690459382,0.2883548121783274,0.288376738125655,0.2884320890916463,0.2885322168950184
0.3099270829091408,0.3099311672735193,0.3099578688988242,0.3100250382558189,0.3101461151800893
0.3320656747034555,0.3320706214305003,0.3321028575534607,0.3321836643679433,0.3323288106360695
0.3547504624768652,0.3547564059154995,0.3547950139314317,0.3548914544153995,0.35506407474819773
0.3779652979618252,0.3779723864383331,0.3780182862230681,0.378132540976968,0.37833633362069924
0.4016946338616856,0.4017030304431559,0.4017572282221525,0.4018916692636105,0.4021306344951798
0.4259234938689923,0.4259333771308982,0.4259969693119774,0.4261541668936213,0.42643261502156526
0.4506374451105406,0.4506490099083984,0.4507231868783869,0.4509059161002663,0.45122847498321966
0.4758225727556914,0.4758360310008716,0.4759220808872971,0.4761333281114385,0.4765049502188922
0.5014654565594827,0.5014810379993744,0.5015803503991697,0.5018233194756871,0.5022492885186273
0.5275531491416698,0.5275711021445243,0.5276851718224774,0.5279632901384101,0.5284492272999004
