D=0.0 mm^2/w,D=0.1 mm^2/w,D=0.2 mm^2/w,D=0.3 mm^2/w,D=0.4 mm^2/w,D=0.5 mm^2/w,D=0.6 mm^2/w,D=0.7 mm^2/w,D=0.8 mm^2/w,D=0.9 mm^2/w,D=1.0 mm^2/w
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352,0.002126082156352
0.0158906267172885,0.0158907267172885,0.0158914267172885,0.0158933267172885,0.0158970267172885,0.0159031267172885,0.0159122267172885,0.0159249267172885,0.0159418267172885,0.0159635267172885,0.01599062671728852
0.0409660956095222,0.040966491544504,0.0409692574893769,0.0409767480540319,0.04099130104836,0.0410152374822523,0.0410508615655998,0.0411004607082936,0.0411663055202247,0.0412506498112841,0.04135573059136302
0.0768398388800774,0.0768408187478803,0.0768476501428367,0.0768661086620238,0.0769018874515266,0.0769605976264379,0.0770477686908593,0.0771688489579002,0.0773292059696793,0.077534126917324,0.07778881906097165
0.1230123152556489,0.1230142554260493,0.1230277545241311,0.1230641468365368,0.1231345238425854,0.1232497366854016,0.1234203986320294,0.1236568875225305,0.1239693482080662,0.1243676949779643,0.12486161397576978
0.1790276493566915,0.179031011059945,0.1790543535934327,0.1791171408348312,0.1792382804871389,0.1794361325603656,0.1797285177777098,0.1801327259065368,0.1806655240144744,0.1813431646509372,0.18218139395439842
0.2444764185870979,0.244481744581074,0.2445186520150404,0.2446177025717376,0.2448083658841087,0.2451190417169763,0.24557708185291,0.2462088116847471,0.2470395515172168,0.2480936375801058,0.2493944427554007
0.3189922800292594,0.3190001914449863,0.3190549047362372,0.3192014111991672,0.3194827721816294,0.3199401680323259,0.3206129461808346,0.3215386683593405,0.3227531569768112,0.324290540656267,0.3261832989457177
0.4022474045744506,0.4022585979405362,0.402335852789883,0.4025422538188791,0.4029377274067078,0.4035791376370269,0.4045203801915439,0.4058124741507772,0.4075036517368708,0.4096394460329049,0.41226277671273587
0.4939480451960044,0.4939632896430207,0.4940682932332766,0.4943482002542377,0.4948832814644538,0.4957491067694525,0.4970167133118869,0.4987527690708398,0.5010197320636746,0.5038760052423202,0.5073760871744054
0.5938305796843619,0.5938507143308662,0.5939891235471452,0.5943572522171658,0.595059366271151,0.5961928430636413,0.597848452767789,0.6001106310086382,0.6030577429537024,0.6067623390747812,0.6112914027906666
0.7016580725712296,0.7016840040936516,0.7018619052264795,0.7023340116135416,0.7032323747905641,0.7046793250936036,0.7067879182239056,0.7096623659412135,0.7133984513462793,0.7180839292022774,0.7237989117340109
0.8172173129072882,0.8172500132964441,0.8174739032319002,0.818066724666521,0.8191922156773789,0.8210008169277349,0.8236303501099327,0.8272066692925485,0.8318442860694588,0.8376469693834232,0.8447083208723234
