"fixed_sym_D_0.1_ooo","fixed_asym_D_0.1_oor","fixed_asym_D_0.1_orr","fixed_sym_D_0.1_rrr"
26030.04268191968,62454.71200354606,63372.55401439315,50171.88089157795
26543.70609518152,63302.98276776835,62973.37241413324,49843.947282619774
27066.967147092324,64144.94021853523,62575.92479055531,49518.516832412
27599.863383588898,64979.94943443344,62180.23200525362,49195.57779293892
28142.4221696498,65807.38367122125,61786.31381650101,48875.11829277446
28694.660129332708,66626.62579581652,61394.18891531237,48557.12634461839
29256.58258863068,67437.06968033958,61003.87496041631,48241.589852550394
29828.183023761627,68238.12154995408,60615.38861216553,47928.49661901245
30409.442517637697,69029.20127858831,60228.7455654158,47617.83435152948
31000.32922738121,69809.74362700128,59843.96058140275,47309.590669178004
31600.797865859862,70579.19941808016,59461.04751864517,47003.75310881201
32210.78920030363,71337.03664471184,59080.01936290262,46700.309131054964
32830.22957113805,72082.74150605833,58700.88825621476,46399.24612606661
33459.030434220724,72815.81936857669,58323.66552504912,46100.55141909272
34097.08792969929,73535.79564865545,57948.36170758307,45804.212275805854
34744.282480717724,74242.21661428308,57574.98658014572,45510.21590744468
35400.47842518255,74934.65010371714,57203.549182844166,45218.54947575927
36065.523683760606,75612.68615967671,56834.057844398376,44929.200097769426
36739.2494672142,76275.93757813286,56466.52020620819,44642.15485034292
37421.47002608753,76924.04037131423,56100.94324567525,44357.400774600086
38111.98244564016,77556.65414507451,55737.33329880216,44074.92488015116
38810.56648877827,78173.46239127929,55375.69608209057,43794.714149172476
39516.984489563874,78774.17269635828,55016.03671375928,43516.75554032728
40230.98129968541,79358.51686763046,54658.35973430274,43241.03599253683
40952.28429005243,79926.25097944154,54302.66912641019,42967.542428607245
41680.60340943237,80477.15534155199,53948.96833426444,42696.26175871725
42415.63130178072,81011.03439257787,53597.26028223948,42427.18088377189
43157.04348362896,81527.71652161302,53247.54739301499,42160.28669862704
43904.4985825889,82027.05382144988,52899.83160512574,41895.56609518935
44657.6386377102,82508.92177706539,52554.11438996295,41633.00596539615
45416.08946209141,82973.21889324837,52210.39676824452,41372.59320407958
46179.46106779744,83419.86626541543,51868.67932597047,41114.31471171915
46947.34815277914,83848.80709779494,51528.96222987922,40858.157397086696
47719.330649127485,84260.00617325275,51191.24524242024,40604.10817978766
48494.97433162853,84653.44927909262,50855.52773625785,40352.1539927023
49273.83148521729,85029.14259318745,50521.80870832072,40102.28178433049
50055.441629564295,85387.11203479004,50190.086793410985,39854.47852104355
