evolving_asym_D=0.1 mm/w,evolving_sym_D=0.1 mm/w
0.0,0.0
0.1,0.0
0.2001573875947347,0.002126082156352
0.3100589785832002,0.01589062671728852
0.4294424425189352,0.04096609560952221
0.557859730473002,0.07683983888007744
0.6948757799656144,0.12301231525564893
0.8400993605147296,0.1790276493566915
0.9931861120307276,0.2444764185870979
1.1538354121948449,0.3189922800292594
1.32178604663815,0.40224740457445063
1.4968120116184336,0.4939480451960044
1.6787187915295336,0.5938305796843619
1.867340157886601,0.7016580725712296
2.062535448413622,0.8172173129072882
2.2641872641098093,0.9403162637415743
2.472199523421096,1.0707818603358672
2.68649582037043,1.2084581018114147
2.907018042295198,1.3532043896517272
3.1337252109125395,1.5048940744793375
3.3665925173176983,1.6634131793165061
3.605610527222282,1.8286592731326556
3.850784537412748,2.0005404730272827
4.102134068236459,2.178974557076954
4.35969248007061,2.3638881728551535
4.623506704338802,2.555216129054351
4.893637081825033,2.7529007596141883
5.170157302885687,2.956891351378333
5.453154445747987,3.167143627636453
5.74272911046409,3.3836192810129178
6.03899564730725,3.606285550084287
6.342082479484291,3.8351148348782518
6.652132521023449,4.070084347055024
6.969303691598728,4.31117579112028
7.293769530886433,4.558375073484166
7.625719915827444,4.811672036577883
7.96536188489712,5.071060215579278
8.312920574167252,5.336536615591181
8.668640270581658,5.608101507368388
9.032785588455914,5.885758239907598
9.405642775746536,6.169513068404342
9.787521157105786,6.459374996246273
10.178754721132046,6.755355629856769
10.579703859524924,7.057469045329459
10.990757266036896,7.365731665905692
11.412334003152468,7.680162149445084
11.844885744289252,8.000781285125958
12.288899198964478,8.327611898689275
12.7448987277608,8.66067876560772
13.21344915300523,9.000008531622203
13.69515876978631,9.345629640141947
14.190682560212068,9.697572266052548
14.700725611583197,10.055868255519405
15.226046736345152,10.420551071412577
15.767462288208518,10.791655744013681
16.32585016460659,11.169218826696637
16.902153980612532,11.55327835630204
17.497387393492563,11.94387381795023
18.11263855016701,12.341046114060958
18.74907462195065,12.744837537368129
19.40794638204277,13.15529174773686
20.090592771376144,13.572453752606968
20.798445387714423,13.996369890902448
21.53303282148456,14.427087820260429
22.29598475001854,14.864656507445918
23.089035690038703,15.309126221830212
23.914028296865887,15.76054853182148
24.772916088611463,16.218976304145745
25.667765465329936,16.68446370588539
26.60075688769569,17.157066209190447
27.57418507828129,17.63684059858549
28.59045811209017,18.123844980801785
29.65209527278407,18.618138797070813
30.761723568120484,19.119782837821106
31.922072823365376,19.62883925972584
33.13596930542848,20.145371605053686
34.40632787326177,20.669444823280156
35.73614270110837,21.201125294921066
37.12847667916475,21.740480857553926
38.586449658939365,22.287580833996856
40.113225774995726,22.842496062618373
41.712000136999016,23.405298929754775
43.38598524158432,23.976063404215193
45.138397497790045,24.55486507385745
46.97244428805888,25.141781184220854
48.8913119951594,25.736890679204986
50.89815541105523,26.340274243786208
52.996088905617455,26.95201434876636
55.18817967198082,27.572195297550696
57.47744328421869,28.200903274954623
59.86684170675421,28.838226398041343
62.35928379000495,29.48425476899488
64.95762818060294,30.139080530035464
67.66468847475988,30.80279792038658
70.48324035697003,31.475503335305415
73.41603039893243,32.15729538719079
76.46578614912698,32.84827496878513
79.63522712351664,33.54854531848924
82.92707631181372,34.2582120878114
86.34407183914577,34.97738341097436
89.88897846580021,35.70616997670656
93.56459866310068,36.44468510224633
97.3737830661102,37.193044809590404
101.31944016869495,37.9513679040206
105.40454518905663,38.71977605494535
109.6321480905831,39.498393879095296
114.00538079124418,40.287349026115095
118.5274636332782,41.086772266596356
123.2017112130365,41.89679758259955
128.03153768883217,42.71756226071579
133.02046169333715,43.54920698772237
138.17211097775652,44.39187594888923
143.49022690917636,45.24571692899659
148.97866893169885,46.110881416127654
154.6414190877586,46.98752470830328
160.48258667973604,47.87580602302957
166.50641313482492,48.77588860983246
172.71727711903108,49.68793986585769
179.1196999299056,50.61213145461796
185.71835118265608,51.54863942797321
192.51805479095023,52.49764435143433
199.52379523217087,53.459331432884426
206.74072407711293,54.43389065481641
214.1741667560469,55.42151691019018
221.82962952654165,56.42241014201722
229.7128066032502,57.43677548678524
237.82958740578405,58.464823421840514
246.1860638776145,59.5067699168506
254.78853782642557,60.56283658947536
263.6435282343098,61.63325086537971
272.757778484473,62.71824614272702
282.13826344955373,63.818061961297985
291.79219638515366,64.93294417638552
301.72703557061885,66.0631451376226
311.950490637446,67.20892387290621
322.4705285238586,68.37054627758697
333.2953789920761,69.54828530910095
344.433539642559,70.74242118722698
355.8937803570585,71.95324160015996
367.68514709962,73.18104191659805
379.8169650018067,74.42612540404934
392.2988406553362,75.68880345357123
405.1406635320827,76.969395811164
418.3526064480302,78.2682308160486
431.9451249842968,79.58564564606665
445.9289557748412,80.92198657045037
460.3151135669586,82.27760921021863
475.11488695724,83.65287880646498
490.33983270237,85.04817049681338
506.0017685010631,86.46386960032702
522.1127641406588,87.90037191116629
538.6851308995243,89.3580840013023
555.731409094542,90.83742353260344
573.2643536617071,92.33881957862353
591.2969176573504,93.86271295643212
609.8422335678507,95.40955656883875
628.9135923170636,96.97981575737592
648.5244198631813,98.57396866641761
668.688251280517,100.19250661882342
689.4187022269017,101.83593450351145
710.7294377041375,103.50477117537717
732.6341380274022,105.19954986798875
755.1464619297753,106.92081861950456
778.2800067402588,108.66914071227264
802.0482655879118,110.44509512658728
826.4645816010718,112.24927700909336
851.5420990891587,114.08229815634468
877.2937117152776,115.94478751403872
903.7320076907432,117.837391692467
930.8692120477048,119.76077549873642
958.717126073171,121.71562248633488
987.2870640167926,123.70263552263096
1016.5897872155856,125.72253737491597
1046.6354358111566,127.77607131561417
1077.4334582686424,129.86400174730514
1108.992538941204,131.98711484822084
1141.3205239591437,134.14621923889837
1174.4243457581554,136.34214667068804
1208.3099465964222,138.57575273683528
1242.9822014447864,140.84791760687352
1278.4448406675297,143.15954678508407
1314.700372942916,145.51157189379768
1351.7500089020552,147.90495148233092
1389.5935859913222,150.34067186236894
1428.2294950870462,152.8197479706237
1467.6546094109617,155.34322425961494
1507.8642163105997,157.91217561743736
1548.851952479965,160.52770831739429
1590.6097432021716,163.19096099839334
1633.1277461969216,165.90310567701405
1676.394300651554,168.6653487921711
1720.3958820047346,171.47893228330835
1765.1170630365782,174.34513470306982
1810.5404817980573,177.26527236540244
1856.6468168859703,180.24070053005207
1903.4147705375724,183.27281462441906
1950.8210599813424,186.36305150374133
1998.8404174374105,189.51289075057258
2047.4455991130933,192.72385601451845
2096.607403486029,195.99751639318652
2146.294699109813,199.33548785529393
2196.474462115149,202.73943470686044
2247.111823513653,206.21107110139363
2298.170126342,209.75216259494638
2349.610992611563,213.3645277468945
2401.39439995349,217.05003976724265
2453.4787677719587,220.81062821122066
2505.821052639747,224.6482807218776
2558.3768525909904,228.56504482131737
2611.100519886896,232.56302975114693
2663.9452817520964,236.6444083626244
2716.863368503251,240.81141905689933
2769.8061484183795,245.06636777562977
2822.724268626374,249.4116300421396
2875.5678012321546,253.84965305314333
2928.2863938351347,258.38295782091376
2980.8294235480234,263.01414136559777
3033.1461535804965,267.74587895719804
3085.1858914187465,272.5809264065288
3136.898147608149,277.5221224042236
3188.2327941328144,282.5723909066188
3239.14022138307,287.73474356705714
3289.5714927101826,293.0122822108474
3339.478495586871,298.4082013517824
3388.8140884222835,303.925790747748
3437.5322421206624,309.56843799255597
3485.5881755234104,315.33963114069763
3532.9384839338923,321.2429613612396
3579.541259992184,327.2821256165703
3625.356206242043,333.46092936114655
3670.3447388134655,339.78328925478996
3714.4700817300736,346.25323588443035
3757.6973514398633,352.87491648749574
3799.9936312593695,359.6525976693953
