"H_i=0.0, C_i=4.0, M_i=400.0, N_i=100.0, D_i=0.0, R_i=0.0","H_i=200.0, C_i=10.0, M_i=5000.0, N_i=59.0, D_i=1.0, R_i=40.0"
400.0,5000.0
400.0,5038.3288
400.05028100768766,5076.442097412701
400.3758334233771,5116.0542829196975
400.9690551091783,5157.147003427774
401.81796092044846,5199.665110619865
402.9108682908739,5243.552153312984
404.2371201191028,5288.7562943814855
405.7871512750346,5335.231238047349
407.55240945452334,5382.935992530188
409.5252477789673,5431.834361633737
411.6988205062112,5481.894412854988
414.0669899033127,5533.087991986578
416.62424534529407,5585.390299439235
419.3656336218562,5638.779526151563
422.2866989411403,5693.236541992285
425.383431146812,5748.744628840492
428.65222084516927,5805.289251199364
432.08982034462935,5862.857858227375
435.6933094984038,5921.439712091667
439.4600657012951,5981.025738444638
443.3877374234018,6041.608395574012
447.4742207706856,6103.181559389646
451.717638649098,6165.740421907094
456.1163221792073,6229.281401289763
460.66879406531547,6293.802061836572
465.37375366958526,6359.301042565909
470.2300635798401,6425.777993261765
475.2367374911243,6493.233517023902
480.3929292471474,6561.669118508739
485.6979229094188,6631.087157167313
491.15112374002655,6701.4908048860725
496.75204999928405,6772.884007519212
502.5003254723733,6845.271449870808
508.3956726500722,6918.658523743554
514.4379064980001,6993.051298720404
520.6269287568138,7068.4564953874615
526.9627227226719,7144.881460742233
533.4453484632138,7222.334145562002
540.0749384294435,7300.823083533328
546.8516934283698,7380.357371966266
553.7758789251465,7460.946653936429
560.8478216468545,7542.601101714869
568.0679064630507,7625.331401360415
575.4365735208238,7709.148738361829
582.9543156144107,7794.064784228251
590.6216757714598,7880.091683936074
598.4392450398354,7967.2420441489
606.4076604604597,8055.528922134611
614.5276032131073,8144.965815310152
622.799796923342,8235.566651350315
631.2250061199125,8327.345778801857
639.8040348329379,8420.317958148722
648.5377253241221,8514.498353278037
657.4269569410461,8609.902523299974
666.4726450883229,8706.546414677627
675.6757403090545,8804.446353625712
685.037227470627,8903.619038739249
694.558125049413,9004.081533815452
704.2394845094364,9105.851260833904
714.0823897704951,9208.945993061672
724.0879567616317,9313.383848251438
734.2573330562059,9419.183281901971
744.5916975851505,9526.363080551315
755.0922604252926,9634.942355074072
765.7602626598922,9744.940533954921
776.596976308804,9856.37735651129
787.6037043258904,9969.272866038677
798.7817806615277,10083.647402852708
810.1325703882371,10199.521597202445
821.6574698876467,10316.916362029877
833.3579070971556,10435.8528855509
845.2353418148199,10556.352623633353
857.2912660611174,10678.437291947985
869.5272044963788,10802.128857868407
881.9447148927891,10927.449532096338
894.545388659977,11054.42175998858
907.330851423311,11183.06821256238
920.3027636541192,11313.411777155932
933.4628213511426,11445.475547720956
946.8127567726108,11579.28281472445
960.354339218422,11714.857054636826
974.0893758619728,11852.221918983825
988.0197126312672,11991.401222939801
1002.1472351389996,12132.418933440118
1016.4738696613724,12275.299156790652
1031.0015841654813,12420.066125752619
1045.732389385153,12566.744186081249
1060.6683399451945,12715.357782497085
1075.8115355340583,12865.931444069112
1091.164122125002,13018.48976898924
1106.7282932458645,13173.05740871817
1122.5062912976475,13329.659051483124
1138.5004089221447,13488.319405108496
1154.712990418913,13649.063179161094
1171.1464332119483,13811.915066392301
1187.8031893664688,13976.899723460238
1204.6857671562802,14144.041750915849
1221.7967326822454,14313.365672437689
1239.138711542443,14484.895913301178
1256.7143905546566,14658.656778069162
1274.526519531898,14834.672427491736
1292.577913111725,15012.966854604525
1310.8714526401786,15193.56386001595
1329.410088111231,15376.487026375411
1348.1968401626896,15561.759692015868
1367.2348021295809,15749.404923765851
1386.5271421561004,15939.44548892773
1406.0771053672804,16131.903826420848
1425.8880161016057,16326.802017090053
1445.9632802058766,16524.161753182198
1466.306387393694,16724.004306995328
1486.920913669021,16926.35049870752
1507.8105238163528,17131.220663394633
1528.978973959109,17338.63461724877
1550.4301141879498,17548.611623011733
1572.1678912607993,17761.170354640457
1594.1963513764545,17976.32886122409
1616.519643023747,18194.104530175337
1639.1420199083211,18414.514049721514
1662.0678439591898,18637.573370723854
1685.301588417332,18863.297667856667
1708.8478410086984,19091.701300181117
1732.7113072041002,19322.797771151676
1756.8968135685657,19556.599688096514
1781.4093112028677,19793.118721216506
1806.253879280037,20032.36556215091
1831.4357286798036,20274.349882161117
1856.9602057240295,20519.080289987392
1882.8327960163333,20766.56428943691
1909.059128389224,21016.808236764824
1935.6449789622231,21269.81729791356
1962.5962753145795,21525.595405678854
1989.9191007763231,21784.14521687444
2017.6196988415784,22045.468069570525
2045.7044777081908,22309.56394048445
2074.1800149478886,22576.431402604965
2103.053062311378,22846.06758313459
2132.3305506729225,23118.468121837457
2162.0195951191467,23393.627129882603
2192.1275001869867,23671.53714927547
2222.6617652558907,23952.189112972577
2253.630090099572,24235.572305776634
2285.0403806028103,24521.674326111355
2316.900754649019,24810.481048776954
2349.2195481844783,25101.97658878885
2382.0053214653926,25396.143266403385
2415.2668654941167,25692.96157343532
2449.013208651159,25992.41014097258
