"H_i=0.0, C_i=4.0, M_i=400.0, N_i=100.0, D_i=0.0, R_i=0.0","H_i=200.0, C_i=10.0, M_i=5000.0, N_i=59.0, D_i=1.0, R_i=40.0"
0.0,1.0
0.01639792,0.994564982
0.1062856850832263,1.0332657611087914
0.1942396818360826,1.0709064347922925
0.2786435128878679,1.106548189557927
0.3594227866418487,1.1401765705881965
0.4367617535388419,1.1719295650983585
0.5108872546505371,1.201967675342876
0.5820182140382077,1.2304437642001187
0.6503536988642915,1.2574961534002103
0.7160716511107604,1.2832481351960867
0.7793306447180629,1.3078092788918474
0.8402723181401951,1.3312771146210298
0.8990237383853464,1.3537387482857823
0.95569948334553,1.3752722824924504
1.0104034101813877,1.3959480274280252
1.063230136577814,1.4158295208897174
1.114266276885047,1.4349743854231096
1.1635914748551075,1.453435049933033
1.211279269490423,1.4712593596401031
1.2573978244041335,1.4884910942619958
1.3020105454433633,1.5051704106388164
1.3451766065422577,1.5213342229274776
1.386951399869718,1.5370165309649442
1.4273869232101342,1.552248705373164
1.4665321150287554,1.567059736362219
1.5044331456997135,1.5814764519015105
1.5411336718066584,1.5955237099030217
1.576675059176572,1.6092245682404143
1.6110965793079512,1.6226004357690709
1.6444355830515127,1.6356712069808457
1.6767276547531915,1.64845538249651
1.7080067495430529,1.6609701772478547
1.7383053160246362,1.6732316179139142
1.7676544062675503,1.6852546309391196
1.7960837747164629,1.6970531222654204
1.8236219673899017,1.7086400497476923
1.8502964025429949,1.7200274890858678
1.8761334438018176,1.7312266939932426
1.9011584666374424,1.742248151224395
1.9253959189301988,1.7531016310049237
1.948869376275264,1.763796233336226
1.971601592596312,1.7743404305897201
1.9936145465620572,1.7847421067545823
2.014929484239092,1.7950085936598585
2.035566958361652,1.8051467044545593
2.0555468645535977,1.8151627645971635
2.0748884747987,1.8250626405780377
2.093610468421371,1.8348517665739985
2.111730960810535,1.8445351692130691
2.129267530093636,1.8541174906089564
2.146237241945381,1.8636030098085303
2.162656672696156,1.8729956627813031
2.178541930887856,1.8822990610673143
2.1939086774096808,1.891516509188704
2.208772144333067,1.900651020920407
2.2231471525531417,1.909705334506653
2.2370481283335657,1.9186819269021873
2.250489118842368,1.9275830271101884
2.263483806758086,1.9364106286826752
2.2760455240181643,1.9451665014436539
2.2881872647749755,1.9538522024902907
2.299921697618943,1.9624690865229368
2.3112611771229656,1.9710183155508214
2.32221775475761,1.9795008680166088
2.3328031892222696,1.9879175473797572
2.3430289562336637,1.9962689901956594
2.3529062578095723,2.0045556737248753
2.3624460310825985,2.0127779231043426
2.371658956675889,2.020935918110243
2.3805554666702164,2.0290296995402026
2.3891457521894672,2.0370591752406746
2.397439770629489,2.0450241258036876
2.4054472525533126,2.052924209955613
2.4131777082740227,2.060758969659214
2.420640434144943,2.0685278349489615
2.42784451857535,2.076230128518416
2.434798847788595,2.083865070077406
2.441512111338277,2.0914317804957276
2.447992807397016,2.0989292857491746
2.454249247831316,2.1063565206828563
2.4602895630750945,2.113712332605969
2.4661217068135657,2.12099548473146
2.4717534604883613,2.128204659473338
2.477192437634064,2.1353384616137436
2.482446088055616,2.1423954213513126
2.4875217018554547,2.1493739972417836
2.4924264133186504,2.1562725790413073
2.4971672046637625,2.1630894904623874
2.501750909666661,2.169822991851944
2.506184217164078,2.176471282800521
2.510473674443225,2.183032504691257
2.514625690523437,2.189504743196814
2.5186465393354003,2.195886030732087
2.5225423628032013,2.202174348870126
2.5263191738341044,2.208367630728356
2.529982859220662,2.2144637633318136
2.5335391824594917,2.220460589959781
2.536993786490777,2.2263559124818686
2.540352196362329,2.2321474936892516
2.5436198218217863,2.2378330596264555
2.546801959840335,2.243410301928751
2.54990379707114,2.2488768801699073
2.5529304122454537,2.25423042422473
2.555886778509225,2.259468536650489
2.558777765702853,2.2645887950910253
2.561608142586563,2.2695887547070153
2.564382579013747,2.2744659506355305
2.5671056480544645,2.279217900481729
2.5697818280711706,2.283842106845173
2.572415504748606,2.288336059882957
2.575010973079676,2.2926972399114773
2.577572439309026,2.2969231200483695
2.5801040228359127,2.301011168895778
2.582609758077882,2.304958853265803
2.5850935962966504,2.308763640948618
2.587559407387513,2.3124230035234152
2.590010981633501,2.315934419211986
2.592452031425437,2.319295375774404
2.5948861929489504,2.3225033734459246
2.597317027839452,2.325555927913878
2.599748024805976,2.3284505733329777
2.602182601224746,2.3311848653771268
2.604624104703241,2.3337563843254667
2.607075814615484,2.3361627381800694
2.609540943609212,2.3384015658123407
2.612022639085513,2.3404705401348846
2.614523984651486,2.3423673712952424
2.617048001546391,2.344089809887626
2.619597650041738,2.345635650178446
2.622175830815673,2.3470027333411534
2.624785386302007,2.3481889506956333
2.627429102014146,2.3491922469471165
2.630109707844172,2.350010623419331
2.6328298793372404,2.3506421412763743
2.635592238941437,2.3510849247275765
2.638399357233179,2.3513371642094154
2.641253754118212,2.35139711953838
2.644157900008191,2.351263123028506
2.647114216972817,2.3509335825671824
2.6501250798674247,2.350406984642717
2.6531928174358983,2.349681897317054
2.656319713388742,2.348756973136977
2.659508007456082,2.347630951977108
2.662759896415339,2.3463026638079767
2.666077535093266,2.344771031382483
2.669463037342002,2.343035072834098
2.6729184769887464,2.3410939041802283
2.676445888758616,2.3389467417242793
