euler,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
940.1701888881704,841.0531839969827,841.0535891190266
997.580378910366,909.3496998233798,909.3495893632609
1053.996131950752,974.5332707911869,974.5345030639653
1109.5523878150268,1037.3320723244456,1037.3323529257134
1164.35814597108,1098.2332233565717,1098.2338974752972
1218.502819642576,1157.5883749079535,1157.58854614218
1272.0607319950652,1215.656797655476,1215.6549223127722
1325.094376250495,1272.6316695718783,1272.6308271143262
1377.656829973745,1328.6719356607298,1328.6709933918855
1429.7935762620507,1383.8999481038254,1383.899029230032
1481.543900054579,1438.4141055519065,1438.4154229692083
1532.9419742564685,1492.303461354859,1492.303031302717
1584.017715562748,1545.632816199217,1545.631034354816
1634.7974666928858,1598.458560686549,1598.457773920079
1685.3045459887269,1650.833525200644,1650.8334047730161
1735.559694409426,1702.8003763041695,1702.8002698691955
1785.5814422601056,1754.3958987358856,1754.3955622749716
1835.386412480292,1805.652191252783,1805.6517842275198
1884.989573315779,1856.5972347615923,1856.596868700467
1934.404450254112,1907.2567015443055,1907.2563456396203
1983.6433049106176,1957.6525940766408,1957.6522049019031
2032.717286901306,2007.8046429282017,2007.804335006895
2081.636563483674,2057.7310477828305,2057.7302013270883
2130.410430781483,2107.446078679986,2107.44584793418
2179.0474096631983,2156.9662263711684,2156.9657726664486
2227.555328758902,2206.303008446333,2206.302620246042
2275.9413966419183,2255.468729879518,2255.4683472484653
2324.2122648361383,2304.4740174498,2304.4738793424162
2372.374083019175,2353.3294569832174,2353.3286096923753
2420.432547557444,2402.041818016188,2402.0416592713887
2468.392944319939,2450.621827296218,2450.62124708581
2516.2601865638626,2499.0755775428825,2499.075069731497
2564.038848559053,2547.4108650743383,2547.409869548596
2611.7331955150185,2595.6327708936324,2595.63226932376
2659.347210288968,2643.748707148002,2643.748093976969
2706.884617281916,2691.764400473487,2691.762890148719
2754.348903871404,2739.6819654721235,2739.6817865535795
2801.743339679608,2787.510811497404,2787.509546931417
2849.070993934037,2835.251300277804,2835.250596343254
2896.334751143049,2882.9096054152733,2882.909054639666
2943.5373252787035,2930.489200254284,2930.4889753143457
2990.6812726341973,2977.993990359317,2977.993749533878
3037.769003501661,3025.4287139142675,3025.426868382824
3084.802792797685,3072.7931086398826,3072.7914256288987
3131.784789748156,3120.09100627046,3120.090568907243
3178.717026730412,3167.327207697862,3167.3269904408958
3225.601427358987,3214.50361079956,3214.5033537809486
3272.439813891108,3261.623206395257,3261.6220722294
3319.233914019259,3308.68607874238,3308.685753256477
3365.9853671105234,3355.696521178152,3355.6963716351347
3412.6957299456985,3402.6573612872503,3402.6560720852563
3459.36648200538,3449.567549624047,3449.566901394222
3505.999030345069,3496.4315621719297,3496.430689584338
3552.5947140969056,3543.24950231964,3543.2492495768947
3599.154808631647,3590.0255929802274,3590.024155068406
3645.680529411056,3636.757637933923,3636.757269807801
3692.173035557793,3683.450225591034,3683.4497637305035
3738.633433167148,3730.103793938384,3730.1034635652104
3785.062778382592,3776.719728790877,3776.7194971893787
3831.46208025493,3823.299877019316,3823.2993091077424
3877.832303402976,3869.8441136560127,3869.8440115597027
3924.174370491917,3916.3540093949937,3916.3547609705734
3970.489164544096,3962.8324463589247,3962.8329249041676
4016.7775310954808,4009.279090468205,4009.279395464881
4063.040280209968,4055.693961992896,4055.6950210111945
4109.278188362573,4102.081047411266,4102.081317512481
4155.49200020122,4148.438735328091,4148.438891797611
4201.682430197104,4194.768309950133,4194.768817414307
4247.850164190892,4241.070364833938,4241.071706330504
4293.995860843227,4287.347975413602,4287.348635639874
4340.120152996201,4333.600587903219,4333.600160687806
4386.223648952266,4379.827009635034,4379.827216415948
4432.30693367646,4426.03029310961,4426.030506260934
4478.370569927338,4472.210317032745,4472.210797234902
4524.415099321628,4518.368221226267,4518.368567314237
4570.44104333704,4564.504351173428,4564.504697198623
4616.448904257614,4610.619108181684,4610.619550518352
4662.439166065355,4656.713578973777,4656.714033352927
4708.412295281773,4702.788021460164,4702.78842393596
4754.368741762641,4748.842933551406,4748.843394668036
4800.308939448998,4794.879206150414,4794.879545989057
4846.233307077255,4840.89711611699,4840.897362836531
4892.142248850989,4886.896973185443,4886.897290279685
4938.036155076866,4932.879660987812,4932.879993653494
4983.9154027669365,4978.844919505285,4978.84557121351
5029.780356209389,5024.794019994089,5024.79461305393
5075.631367509694,5070.726644097431,5070.727638895607
5121.468777103956,5116.644475021876,5116.645037617812
5167.292914246125,5162.546923262369,5162.54719997452
5213.104097470644,5208.433581036112,5208.434617020678
5258.902635031985,5254.306081817601,5254.307489193825
5304.688825322412,5300.165824448083,5300.165992240714
5350.462957269265,5346.00909030107,5346.010939311219
5396.225310712902,5391.841801258865,5391.842284811451
5441.976156766434,5437.658909752949,5437.660566848646
5487.715758158277,5483.465805860995,5483.466057478328
5533.444369558466,5529.25744788107,5529.259073769745
5579.162237889651,5575.038842182233,5575.039766681478
5624.869602623608,5620.808062187596,5620.808714245004
5670.566696064057,5666.565422053017,5666.565818408321
5716.25374361654,5712.310401539683,5712.3114969396465
