euler,RK_rtol_1e-05_atol_1e-08,RK_rtol_1e-06_atol_1e-09
1.002123407806997,1.0001701763309068,1.0001653937273265
1.0023399119328835,1.0006616125871963,1.0006648378849219
1.0025342247717592,1.0010845183873998,1.0010764487533335
1.0027099214578674,1.0014296426925997,1.001426583446962
1.0028698044764683,1.001729376199238,1.001726380903675
1.003016109101529,1.001991843077148,1.0019871136240035
1.0031506450593173,1.0022004212521496,1.002220384181517
1.0032748967553629,1.002416474604484,1.0024263868641545
1.003390095780612,1.0025978846318335,1.0026117465629416
1.0034972743960058,1.0027714675172614,1.0027802764423344
1.003597305670653,1.002942926511766,1.0029342191478294
1.003690934068883,1.003071993405067,1.0030762760276561
1.0037787990812217,1.0032008200105729,1.0032058475226877
1.003861453708248,1.0033228244192105,1.0033259715696912
1.00393937908164,1.0034307516856635,1.0034365904421105
1.0040129961479658,1.0035355557869026,1.0035405586466546
1.004082675093107,1.0036330555963355,1.0036378924855833
1.0041487430094933,1.00372261200991,1.0037287370990828
1.004211490183183,1.0037929507913552,1.0038153797767444
1.0042711752870013,1.003893427342206,1.0038964241879442
1.0043280296991994,1.0039697183670866,1.0039725513903346
1.004382261117523,1.0040402646154465,1.0040430461822691
1.004434056601469,1.0040886059845382,1.0041123615726186
1.004483585147203,1.0041681859768037,1.0041768093827588
1.0045309998782428,1.0042309579162525,1.0042370038173332
1.0045764399182031,1.00428040169213,1.0042965382783948
1.0046200319989242,1.0043492507791851,1.0043524973088602
1.0046618918474557,1.0044036473215736,1.0044047819533248
1.0047021253870152,1.0044491644863174,1.0044556978599979
1.0047408297808655,1.0045020400598597,1.0045048547287905
1.0047780943429538,1.0045408973317358,1.0045528123545486
1.0048140013350426,1.0045742002053226,1.0045959550421675
1.004848626666762,1.0046362736891823,1.0046388116716605
1.0048820405122578,1.004677559690032,1.0046799039417207
1.0049143078550218,1.004710152069274,1.0047200547865105
1.00494548897063,1.0047479316759844,1.004757667010497
1.0049756398555758,1.0047919561628953,1.0047943821380914
1.0050048126092042,1.0048237774226458,1.0048295544923544
1.005033055774724,1.0048598915937628,1.0048639346460382
1.005060414644383,1.0048922421857442,1.0048966525958256
1.0050869315331885,1.0049259137924058,1.004928601266426
1.0051126460249526,1.0049555803910817,1.004959408789192
1.0051375951939043,1.0049868274932676,1.004989623798167
1.0051618138047047,1.005012511424516,1.0050186360208746
1.0051853344933068,1.005031202124006,1.0050453683594036
1.0052081879307992,1.005062201958236,1.0050724217115357
1.005230402972098,1.0050941251501897,1.0050986348828583
1.0052520067911137,1.005117933403779,1.0051240198692866
1.0052730250038315,1.0051456100449303,1.0051487373885013
1.0052934817805614,1.0051563081013934,1.0051735284905423
1.005313399948466,1.0051928603157203,1.005195867363986
1.0053328010853526,1.005214440847361,1.0052183749080028
1.0053517056055898,1.0052378999607725,1.005240374633928
1.0053701328389228,1.0052596427390437,1.005261712360622
1.005388101102874,1.0052749189346577,1.0052823372062747
1.0054056277693324,1.005288179713786,1.0053043731415947
1.0054227293258762,1.0053140874280684,1.0053223593307028
1.0054394214323177,1.0053247645230687,1.0053415785594864
1.0054557189728996,1.0053535528732376,1.0053604005024657
1.0054716361045388,1.005375620278514,1.005377730172114
1.005487186301457,1.0053936007864868,1.0053955247949669
1.0055023823965252,1.0054147295799272,1.0054126625652458
1.005517236619594,1.0054355526458107,1.0054285286907223
1.005531760633073,1.0054547848725215,1.0054458056229951
1.0055459655649843,1.0054719329243391,1.0054638647649494
1.0055598620397042,1.0054801636106718,1.0054787978871935
1.005573460206577,1.005501145687061,1.0054946256611546
1.0055867697665766,1.005512902540501,1.005507474912354
1.0055997999971655,1.005526897677744,1.0055232450148461
1.0056125597755043,1.0055471809499403,1.0055373730709911
1.0056250576001249,1.0055473988701256,1.005550642617213
1.0056373016111964,1.005576472048768,1.005565627645922
1.0056492996094872,1.005581710229545,1.005578889989076
1.0056610590741224,1.0056017629121297,1.0055917938909344
1.005672587179222,1.005627334146343,1.0056052402391369
1.005683890809506,1.0056203365242231,1.0056167289738793
1.0056949765749397,1.005640017469909,1.0056287339840602
1.0057058508244885,1.0056465542703577,1.0056424713618635
1.0057165196590443,1.0056595341489696,1.0056520302814258
1.005726988943584,1.0056802688326434,1.0056653935044457
1.0057372643186098,1.005682360518257,1.0056770233381096
1.0057473512109252,1.0056909641910372,1.0056870302005285
1.0057572548437874,1.0057046853764633,1.0056983866857854
1.00576698024648,1.0057170639279465,1.0057104396926055
1.0057765322633472,1.005724097217693,1.0057207080756791
1.005785915562318,1.0057374395355574,1.0057305985637066
1.0057951346429646,1.00574711039235,1.0057411897479511
1.0058041938441105,1.0057555329365446,1.0057508240717719
1.0058130973510335,1.0057635944390444,1.0057613906248433
1.0058218492022748,1.005795953347521,1.005770657402484
1.0058304532960889,1.0057827364252951,1.0057802157033835
1.005838913396551,1.0058029575091634,1.0057897624964
1.005847233139345,1.00580856531394,1.0057981234144604
1.0058554160372544,1.0058119082825918,1.0058066826019048
1.0058634654853658,1.0058186590968177,1.0058166634360457
1.005871384766012,1.0058419541709982,1.0058242221804161
1.0058791770534654,1.0058526816884263,1.0058337674956834
1.0058868454183938,1.0058460944491747,1.0058424469900809
1.0058943928320991,1.0058598238846497,1.00585070049854
1.005901822170544,1.0058624757097152,1.0058586280710664
1.0059091362181865,1.005869588670249,1.0058666272913173
