300.0_weeks,300.0_weeks_RK
940.1701888881704,841.097558494449
997.580378910366,909.255677931019
1053.996131950752,974.4860452949374
1109.5523878150268,1037.2976277298494
1164.35814597108,1098.2642351240079
1218.502819642576,1157.6592496385015
1272.0607319950652,1215.6955935644378
1325.094376250495,1272.6557065408656
1377.656829973745,1328.691217383305
1429.7935762620507,1383.9546585342898
1481.543900054579,1438.4372435297478
1532.9419742564685,1492.3197395614613
1584.017715562748,1545.682619430711
1634.7974666928858,1598.4834383552138
1685.3045459887269,1650.86351516441
1735.559694409426,1702.8542325806054
1785.5814422601056,1754.4278824998337
1835.3864124802917,1805.6836072578633
1884.989573315779,1856.6154466924768
1934.404450254112,1907.2813554691909
1983.6433049106176,1957.688920582401
2032.717286901306,2007.869658405005
2081.636563483674,2057.8748133346785
2130.410430781483,2107.551636046098
2179.0474096631983,2156.987990304017
2227.555328758902,2206.330215125363
2275.9413966419183,2255.495261477222
2324.2122648361383,2304.514183653883
2372.374083019175,2353.352809352223
2420.432547557444,2402.068552927805
2468.392944319939,2450.64253813683
2516.2601865638626,2499.0945959158794
2564.038848559053,2547.4644095797053
2611.7331955150185,2595.687902346751
2659.3472102889677,2643.779972653627
2706.884617281916,2691.804748720538
2754.3489038714038,2739.7183102575386
2801.743339679608,2787.5619932457826
2849.070993934037,2835.266427145196
2896.334751143049,2882.967167984528
2943.5373252787035,2930.6985463289016
2990.6812726341973,2978.025584275456
3037.769003501661,3025.444474874436
3084.802792797685,3072.869194208317
3131.784789748156,3120.159271945289
3178.717026730412,3167.4421746880685
3225.601427358987,3214.5571690449287
3272.439813891108,3261.6583136717873
3319.233914019259,3308.714027417586
3365.9853671105234,3355.712698036904
3412.6957299456985,3402.6895398895394
3459.36648200538,3449.611284896343
3505.999030345069,3496.4728241381704
3552.5947140969056,3543.310041072567
3599.154808631647,3590.04157210509
3645.680529411056,3636.878295892541
3692.173035557793,3683.4909130591523
3738.633433167148,3730.163761426384
3785.062778382592,3776.7460704001032
3831.46208025493,3823.3370874250186
3877.832303402976,3869.941376889578
3924.174370491917,3916.38578933616
3970.489164544096,3962.8860238155044
4016.7775310954808,4009.41918105452
4063.040280209968,4055.731003385459
4109.278188362573,4102.1133179058015
4155.49200020122,4148.531338633517
4201.682430197104,4194.8053291003325
4247.850164190892,4241.143735789
4293.995860843227,4287.507566195222
4340.120152996201,4333.658543336617
4386.223648952266,4379.862375811182
4432.30693367646,4426.104577200336
4478.370569927338,4472.259671352593
4524.415099321628,4518.406043035898
4570.44104333704,4564.523273884415
4616.448904257614,4610.6411460699255
4662.439166065355,4656.803542955057
4708.412295281773,4702.801991270939
4754.368741762641,4748.866282215082
4800.308939448998,4794.900568270188
4846.233307077255,4840.918821956685
4892.142248850989,4886.910625542095
4938.036155076866,4932.8969114874835
4983.9154027669365,4978.864744571091
5029.780356209389,5024.827704184079
5075.631367509694,5070.850591778224
5121.468777103956,5116.680641533904
5167.292914246125,5162.615758846048
5213.104097470644,5208.499373770002
5258.902635031985,5254.334074827634
5304.688825322412,5300.181912264269
5350.462957269265,5346.0409156892065
5396.225310712902,5391.927082657851
5441.976156766434,5437.7288196163
5487.715758158277,5483.503909287492
5533.444369558466,5529.273774644345
5579.162237889651,5575.083179938297
5624.869602623608,5620.831997537018
5670.566696064057,5666.647886300873
5716.25374361654,5712.358096761399
