evolving_asym_D=1.0 mm^2/w,evolving_sym_D=1.0 mm^2/w
400.0,400.0
400.0,400.0
400.05028100768766,400.05028100768766
400.3748278224796,400.3758334233771
400.9651276272876,400.96905510917827
401.8083674461262,401.81796092044846
402.89210895910617,402.9108682908739
404.20500218013126,404.23712011910277
405.73684405464087,405.7871512750346
407.47849249157616,407.55240945452334
409.4217530540153,409.5252477789673
411.559269535652,411.69882050621123
413.884426359606,414.0669899033127
416.3912637692832,416.62424534529407
419.074404714442,419.3656336218562
421.928991855275,422.2866989411403
424.9506331446992,425.38343114681203
428.1353546378532,428.65222084516927
431.4795593903969,432.08982034462935
434.9799915014485,435.6933094984038
438.63370452197626,439.4600657012951
442.4380335854117,443.3877374234018
446.3905707278914,447.4742207706856
450.48914295523,451.717638649098
454.7317926864939,456.1163221792073
459.1167602632584,460.66879406531547
463.6424682620172,465.37375366958526
468.3075073869584,470.23006357984013
473.1106237531317,475.2367374911243
478.0507073972663,480.3929292471474
483.1267818762218,485.69792290941876
488.3379948321115,491.15112374002655
493.6836094191932,496.75204999928405
499.1629965012213,502.5003254723733
504.7756275395154,508.39567265007224
510.5210681018752,514.4379064980001
516.3989719309386,520.6269287568138
522.4090755178682,526.9627227226719
528.5511931335469,533.4453484632138
534.8252122749183,540.0749384294435
541.2310894888546,546.8516934283698
547.7688465400721,553.7758789251465
554.4385668932325,560.8478216468545
561.2403924825487,568.0679064630507
568.1745207450006,575.4365735208238
575.241201895732,582.9543156144107
582.4407364263753,590.6216757714598
589.7734728089747,598.4392450398354
597.2398053898944,606.4076604604597
604.8401724596146,614.5276032131073
612.5750544856764,622.799796923342
620.4449724972483,631.2250061199125
628.450486610866,639.8040348329379
636.592194687874,648.5377253241221
644.8707311149595,657.4269569410461
653.286765699962,666.4726450883229
661.8410026758379,675.6757403090545
670.5341798063022,685.037227470627
679.3670675872379,694.558125049413
688.3404685384874,704.2394845094364
697.4552165811072,714.0823897704951
706.712176495596,724.0879567616317
716.1122434569921,734.2573330562059
725.6563426430879,744.5916975851505
735.3454289123334,755.0922604252926
745.1804865482886,765.7602626598922
755.1625290677547,776.596976308804
765.2925990899581,787.6037043258904
775.5717682643841,798.7817806615277
786.0011372550629,810.1325703882371
796.5818357792992,821.6574698876467
807.3150226990102,833.3579070971556
818.2018861629949,845.2353418148199
829.2436437986091,857.2912660611174
840.4415429514523,869.5272044963788
851.7968609718025,881.9447148927891
863.3109055466513,894.545388659977
874.9850150762999,907.330851423311
886.8205590945813,920.3027636541193
898.8189387318654,933.4628213511426
910.9815872200963,946.8127567726108
923.309970439195,960.354339218422
935.8055875042344,974.0893758619727
948.469971392879,988.0197126312672
961.3046896126392,1002.1472351389996
974.3113449075704,1016.4738696613724
987.4915760041024,1031.0015841654813
1000.8470583957486,1045.732389385153
1014.3795051665076,1060.6683399451945
1028.0906678528224,1075.8115355340583
1041.9823373440197,1091.164122125002
1056.0563448212035,1106.7282932458645
1070.314562734635,1122.5062912976477
1084.7589058196754,1138.5004089221447
1099.3913321514235,1154.712990418913
1114.2138442382277,1171.1464332119483
1129.228490154301,1187.8031893664688
1144.4373647117188,1204.6857671562802
1159.8426106721229,1221.7967326822454
1175.4464199985102,1239.138711542443
1191.2510351475275,1256.7143905546566
1207.258750402746,1274.526519531898
1223.4719132494354,1292.5779131117247
1239.892925791411,1310.8714526401786
1256.5242462105723,1329.410088111231
1273.3683902698076,1348.1968401626896
1290.4279328599823,1367.2348021295809
1307.705509591795,1386.5271421561004
1325.2038184333198,1406.0771053672804
1342.9256213941285,1425.8880161016057
1360.8737462569172,1445.9632802058766
1379.0510883576485,1466.306387393694
1397.460612415245,1486.920913669021
1416.1053544119611,1507.8105238163528
1434.9884235255947,1528.978973959109
1454.113004114776,1550.4301141879498
1473.482357758638,1572.1678912607993
1493.0998253522253,1594.1963513764545
1512.9688292590756,1616.519643023747
1533.0928755224763,1639.1420199083211
1553.475556136966,1662.0678439591898
1574.1205513817276,1685.301588417332
1595.0316322175925,1708.8478410086984
1616.2126627494565,1732.7113072041002
1637.667602755982,1756.8968135685657
1659.400510288552,1781.4093112028677
1681.4155443415168,1806.253879280037
1703.716967595868,1831.4357286798033
1726.3091492385654,1856.9602057240297
1749.196567859828,1882.8327960163333
1772.3838144308052,1909.0591283892236
1795.875595364134,1935.6449789622231
1819.6767356600024,1962.5962753145795
1843.792182140426,1989.9191007763231
1868.2270067745733,2017.6196988415786
1892.9864100980733,2045.7044777081908
1918.075724729358,2074.1800149478886
1943.5004189862136,2103.053062311378
1969.2661006058397,2132.3305506729225
1995.3785205718293,2162.0195951191467
2021.843577051636,2192.1275001869867
2048.667319448205,2222.6617652558907
2075.855952569605,2253.6300900995716
2103.415840920629,2285.0403806028103
2131.353513120485,2316.900754649019
2159.6756664508607,2349.2195481844783
2188.3891715387786,2382.0053214653926
2217.501077178855,2415.2668654941167
2247.0186152997226,2449.013208651159
2276.9492060795533,2483.253623529787
2307.300463215812,2517.997633980324
2338.0801993545374,2553.2550223714657
2369.2964316846587,2589.0358370762215
2400.957387703034,2625.350400190336
2433.071511156119,2662.2093154913478
2465.647468164374,2699.6234766467014
2498.694153535738,2737.6040756796438
2532.2206972747254,2776.1626117019255
2566.236471293922,2815.310899922639
2600.751096334914,2855.0610809428495
2635.7744491059066,2895.4256303459947
2671.31666964356,2936.41736859437
2707.388168906822,2978.049471242357
2743.999636610813,3020.335479477405
2781.1620493090754,3063.289311000145
2818.886678732818,3106.9252712553707
2857.1851003960446,3151.258065026015
2896.06920247578,3196.302808402625
2935.551194976901,3242.075041141241
2975.6436191914104,3288.5907394229853
3016.359357462308,3335.866329029076
3057.711643262552,3383.918698945399
3099.714071599952,3432.7652154111934
3142.380609759168,3482.423736426847
3185.725608392383,3532.912626736215
3229.7638129705483,3584.250773299336
3274.510375607502,3636.457601271851
3319.9808672696395,3689.553090507891
3366.191290384204,3743.5577926036326
3413.158091859666,3798.492848499197
3460.89817653207,3854.380006656992
3509.4289210516404,3911.241641835068
3558.7681882243523,3969.100774474492
3608.934341823606,4027.981090720185
3659.946261887567,4087.906963095106
3711.823360518176,4148.903471848084
3764.585598198257,4210.996426996004
3818.253500643604,4274.212391081451
3872.848176207362,4338.578702667303
3928.39133385445,4404.123500590084
3984.905301724223,4470.875748994241
4042.4130463,4538.865263169798
4100.938192204498,4608.122736216087
4160.505042640664,4678.679766554484
4221.138600497771,4750.568886313236
4282.864590143063,4823.823590607611
4345.709479919615,4898.478367738606
4409.700505371426,4974.5687303335035
4474.86569321711,5052.131247451419
4541.233886093864,5131.203577676853
4608.834768093675,5211.8245032239665
4677.698891113964,5294.033965073948
4747.857702045101,5377.873099167324
4819.3435708173465,5463.384273672475
4892.189819329922,5550.6111273508395
4966.430751284926,5639.598609038365
5042.101682948829,5730.39301826168
5119.238974864148,5823.042047006178
5197.880064533774,5917.594822651708
5278.063500100104,6014.1019520898235
5359.828975040796,6112.615567034615
5443.21736390246,6213.189370536855
5528.270759092988,6315.878684708665
5615.032508752452,6420.740499663061
5703.547255721632,6527.833523669471
5793.860977626099,6637.218234522762
5886.021028092558,6748.956932119271
5980.076179112649,6863.1137922288835
6076.07666456774,6979.75492144725
6174.074224926263,7098.948413306781
6274.122153122979,7220.764405518999
6376.275341627021,7345.275138314245
6480.590330702762,7472.555013837399
6587.125357864411,7602.680656550353
6695.940408521657,7735.730974583219
6807.097267809805,7871.787221966766
6920.65957359341,8010.933061668211
7036.692870627619,8153.254629341232
7155.26466585605,8298.84059768886
7276.444484818113,8447.782241324674
7400.30392913224,8600.17350200341
7526.916735014308,8756.111054076682
7656.35883278276,8915.694370012869
7788.708407293416,9079.025785802347
7924.045959237629,9246.210566050073
8062.454367227349,9417.35696853696
8204.018950579622,9592.576308009524
8348.827532701138,9771.983018933835
8496.9705049605,9955.694716924863
8648.540890921926,10143.832258535753
8803.634410799006,10336.519799063506
8962.349545970934,10533.884847997775
9124.78760338614,10736.058321708135
9291.052779659572,10943.174592932186
9461.25222464979,11155.371536592238
9635.496104280595,11372.790571432066
9813.8976623491,11595.576696927474
9996.573281037709,11823.878524885133
10183.642539821749,12057.848305103487
10375.22827243694,12297.641944427594
10571.456621542002,12543.419018486684
10772.4570906811,12795.342775359246
10978.362593118609,13053.580130365666
11189.309497085023,13318.301651143302
11405.437666937392,13589.681532113458
11626.890499700949,13867.897557404644
11853.814956420229,14153.13105125185
12086.361587708428,14445.566814848164
12324.684552842706,14745.393048583046
12568.9416317113,15052.801258561878
12819.294228875282,15367.98614626436
13075.907368964168,15691.145480165893
13338.949682580447,16022.479948116834
13608.593381843866,16362.192989250416
13885.01422466208,16710.49060417196
14168.391466770803,17067.58114217086
14458.90780054393,17433.675064193616
14756.749279533064,17808.984680321933
15062.105227656828,18193.723860515976
15375.168131923972,18588.107717410003
15696.133517541237,18992.352259987292
16025.19980422801,19406.67401701463
16362.568142535763,19831.28962918459
16708.442228951866,20266.415408997884
17063.028098555827,20712.266867518993
17426.533893992004,21169.058207257218
17799.16960952746,21637.00178056324
18181.146808978192,22116.307513088723
18572.678316312165,22607.182292034402
18973.977877774996,23109.829319110715
19385.25979443441,23624.44742835444
19806.738524104465,24151.230369185287
20238.628251690312,24690.366055347236
20681.142427091003,25242.035780660266
21134.49326991149,25806.41340280769
21598.891240367226,26383.664496701545
22074.544475916024,26973.945479301256
22561.65819332274,27577.402708107278
23060.434056053466,28194.171555908808
23571.069507107342,28824.375464729994
24093.757067626026,29468.12498228921
24628.683601872508,30125.516784656742
25176.029549442766,30796.632689164035
25735.96812586317,31481.538661977647
26308.66449303425,32180.28382509897
26894.274901303925,32892.899467881485
27492.94580528998,33619.39806846614
28104.81295591913,34359.77233081709
28730.000471505835,35113.994243290035
29368.61989105536,35882.014164878216
30020.76921333791,36663.75994545316
30686.531925641317,37459.136086443345
31365.97602646305,38268.022948470694
32059.1530467454,39090.276012488896
32766.09707458429,39925.72520093584
33486.823788649024,40774.174265323025
34221.32950583112,41635.40024653585
34969.59024889167,42509.15301390987
35731.56084009274,43395.15488887837
36507.17402697526,44293.10035865783
37296.339646579145,45202.655885049884
38098.94383448725,46123.45981299467
